#Object       u60  vst  v40

10453         1.0  0.0  0.0
10452         1.0  0.0  0.0
10451         1.0  0.0  0.0
10450         1.0  0.0  0.0
10457         1.0  0.0  0.0
10456         1.0  0.0  0.0
10455         1.0  0.0  0.0
10454         1.0  0.0  0.0
10513         1.0  0.0  0.0
10459         1.0  0.0  0.0
10458         1.0  0.0  0.0
10516         1.0  0.0  0.0
10517         1.0  0.0  0.0
10514         1.0  0.0  0.0
10515         1.0  0.0  0.0
10749         1.0  0.0  0.0
10748         1.0  0.0  0.0
10747         1.0  0.0  0.0
10746         1.0  0.0  0.0
10745         1.0  0.0  0.0
10744         1.0  0.0  0.0
10743         1.0  0.0  0.0
10742         1.0  0.0  0.0
10741         1.0  0.0  0.0
10740         1.0  0.0  0.0
10729         1.0  0.0  0.0
10728         1.0  0.0  0.0
10725         1.0  0.0  0.0
10724         1.0  0.0  0.0
10727         1.0  0.0  0.0
10726         1.0  0.0  0.0
10721         1.0  0.0  0.0
10723         1.0  0.0  0.0
10722         1.0  0.0  0.0
10769         1.0  0.0  0.0
10448         1.0  0.0  0.0
10449         1.0  0.0  0.0
10768         1.0  0.0  0.0
10444         1.0  0.0  0.0
10445         1.0  0.0  0.0
10446         1.0  0.0  0.0
10447         1.0  0.0  0.0
10440         1.0  0.0  0.0
10441         1.0  0.0  0.0
10442         1.0  0.0  0.0
10443         1.0  0.0  0.0
10804         1.0  0.0  0.0
10750         1.0  0.0  0.0
10752         1.0  0.0  0.0
10753         1.0  0.0  0.0
10800         1.0  0.0  0.0
10755         1.0  0.0  0.0
10802         1.0  0.0  0.0
10803         1.0  0.0  0.0
10738         1.0  0.0  0.0
10739         1.0  0.0  0.0
10736         1.0  0.0  0.0
10737         1.0  0.0  0.0
10734         1.0  0.0  0.0
10735         1.0  0.0  0.0
10732         1.0  0.0  0.0
10733         1.0  0.0  0.0
10730         1.0  0.0  0.0
10731         1.0  0.0  0.0
10439         1.0  0.0  0.0
10438         1.0  0.0  0.0
10431         1.0  0.0  0.0
10430         1.0  0.0  0.0
10433         1.0  0.0  0.0
10432         1.0  0.0  0.0
10435         1.0  0.0  0.0
10434         1.0  0.0  0.0
10437         1.0  0.0  0.0
10436         1.0  0.0  0.0
10783         1.0  0.0  0.0
10782         1.0  0.0  0.0
10781         1.0  0.0  0.0
10429         1.0  0.0  0.0
10751         1.0  0.0  0.0
10422         1.0  0.0  0.0
10423         1.0  0.0  0.0
10426         1.0  0.0  0.0
10427         1.0  0.0  0.0
10424         1.0  0.0  0.0
10425         1.0  0.0  0.0
10754         1.0  0.0  0.0
10428         1.0  0.0  0.0
depthtest     2.0  0.0  0.0
10801         1.0  0.0  0.0
10780         1.0  0.0  0.0
10777         1.0  0.0  0.0
10414         1.0  0.0  0.0
10413         1.0  0.0  0.0
10412         1.0  0.0  0.0
10411         1.0  0.0  0.0
10410         1.0  0.0  0.0
10798         1.0  0.0  0.0
10799         1.0  0.0  0.0
10408         1.0  0.0  0.0
10409         1.0  0.0  0.0
10819         1.0  0.0  0.0
10498         1.0  0.0  0.0
10497         1.0  0.0  0.0
10496         1.0  0.0  0.0
10495         1.0  0.0  0.0
10494         1.0  0.0  0.0
10493         1.0  0.0  0.0
10492         1.0  0.0  0.0
10491         1.0  0.0  0.0
10490         1.0  0.0  0.0
10475         1.0  0.0  0.0
10474         1.0  0.0  0.0
10477         1.0  0.0  0.0
10476         1.0  0.0  0.0
10471         1.0  0.0  0.0
10470         1.0  0.0  0.0
10473         1.0  0.0  0.0
10472         1.0  0.0  0.0
11486         1.0  0.0  0.0
11485         1.0  0.0  0.0
11484         1.0  0.0  0.0
11483         1.0  0.0  0.0
11482         1.0  0.0  0.0
11481         1.0  0.0  0.0
11480         1.0  0.0  0.0
10479         1.0  0.0  0.0
10770         1.0  0.0  0.0
10478         1.0  0.0  0.0
10488         1.0  0.0  0.0
10489         1.0  0.0  0.0
10763         1.0  0.0  0.0
10771         1.0  0.0  0.0
10765         1.0  0.0  0.0
10764         1.0  0.0  0.0
10767         1.0  0.0  0.0
10766         1.0  0.0  0.0
10480         1.0  0.0  0.0
10481         1.0  0.0  0.0
10482         1.0  0.0  0.0
10483         1.0  0.0  0.0
10484         1.0  0.0  0.0
10485         1.0  0.0  0.0
10486         1.0  0.0  0.0
10487         1.0  0.0  0.0
10774         1.0  0.0  0.0
10775         1.0  0.0  0.0
10466         1.0  0.0  0.0
10467         1.0  0.0  0.0
10464         1.0  0.0  0.0
10465         1.0  0.0  0.0
10462         1.0  0.0  0.0
10463         1.0  0.0  0.0
10460         1.0  0.0  0.0
10461         1.0  0.0  0.0
10468         1.0  0.0  0.0
10469         1.0  0.0  0.0
10772         1.0  0.0  0.0
10773         1.0  0.0  0.0
10824         1.0  0.0  0.0
10825         1.0  0.0  0.0
10776         1.0  0.0  0.0
10823         1.0  0.0  0.0
10820         1.0  0.0  0.0
10821         1.0  0.0  0.0
10778         1.0  0.0  0.0
10779         1.0  0.0  0.0
10822         1.0  0.0  0.0
