#Object       u60

10518         1.0
10519         1.0
10512         1.0
10513         1.0
10510         1.0
10511         1.0
10516         1.0
10517         1.0
10514         1.0
10515         1.0
10899         1.0
10898         1.0
10890         1.0
10527         1.0
10526         1.0
10525         1.0
10524         1.0
10729         1.0
10728         1.0
10521         1.0
10520         1.0
10529         1.0
10528         1.0
10884         1.0
10885         1.0
10886         1.0
10887         1.0
10880         1.0
10881         1.0
10882         1.0
10883         1.0
10888         1.0
10889         1.0
10530         1.0
10531         1.0
10532         1.0
10533         1.0
10534         1.0
10535         1.0
10738         1.0
10537         1.0
10736         1.0
10737         1.0
10734         1.0
10735         1.0
10732         1.0
10733         1.0
10730         1.0
10731         1.0
10879         1.0
10878         1.0
10871         1.0
10870         1.0
10873         1.0
10872         1.0
10875         1.0
10874         1.0
10877         1.0
10876         1.0
10545         1.0
10544         1.0
10547         1.0
10546         1.0
10541         1.0
10540         1.0
10543         1.0
10542         1.0
10904         1.0
10868         1.0
10869         1.0
10901         1.0
10900         1.0
10903         1.0
10902         1.0
10862         1.0
10863         1.0
10860         1.0
10861         1.0
10866         1.0
10867         1.0
10864         1.0
10865         1.0
10857         1.0
10856         1.0
10855         1.0
10536         1.0
10859         1.0
10858         1.0
10538         1.0
10539         1.0
11238         1.0
11239         1.0
11233         1.0
11234         1.0
11235         1.0
11236         1.0
11237         1.0
10499         1.0
10498         1.0
10497         1.0
10496         1.0
10495         1.0
10494         1.0
10493         1.0
10492         1.0
10523         1.0
10522         1.0
10509         1.0
10508         1.0
10501         1.0
10500         1.0
10503         1.0
10502         1.0
10505         1.0
10504         1.0
10507         1.0
10506         1.0
