# Generated at 2016-07-19 15:58:53
#Object       u60

11542         1.0
11543         1.0
10852         2.0
11544         1.0
12391         2.0
11289         1.0
11382         1.0
11383         1.0
13089         1.0
13088         1.0
11386         1.0
11387         1.0
13087         1.0
10581         1.0
10580         1.0
10582         1.0
11186         1.0
11187         1.0
11185         1.0
11188         1.0
11189         1.0
10850         2.0
15753         1.0
15752         1.0
15751         1.0
15750         1.0
10845         1.0
10967         1.0
10966         1.0
10965         1.0
10964         1.0
10963         2.0
10962         2.0
10961         1.0
10960         2.0
10969         1.0
10968         1.0
13016         1.0
13017         1.0
13014         1.0
13015         1.0
13012         1.0
13013         1.0
13010         1.0
13011         1.0
13018         1.0
13019         1.0
12987         1.0
12986         1.0
12985         2.0
14452         1.0
13429         1.0
13428         1.0
13427         1.0
13426         1.0
15104         1.0
13424         1.0
13423         1.0
15103         1.0
15100         1.0
12988         1.0
Moon50B       1.0
Moon50A       1.0
12019         1.0
12018         1.0
12015         1.0
12014         1.0
12017         1.0
11686         1.0
12011         1.0
12010         1.0
12013         1.0
12012         1.0
11667         1.0
11666         1.0
11665         1.0
11664         1.0
12060         1.0
11663         1.0
11662         1.0
11003         1.0
11002         1.0
11001         1.0
11000         1.0
11007         1.0
11006         1.0
11005         1.0
11004         1.0
11009         1.0
11660         1.0
12086         1.0
12087         1.0
12084         1.0
12085         1.0
12082         1.0
12083         1.0
10639         1.0
10638         1.0
10637         1.0
10931         1.0
10635         1.0
10634         1.0
10633         1.0
10632         1.0
10631         1.0
10630         1.0
11946         2.0
11947         2.0
11944         2.0
11945         2.0
11942         2.0
11943         2.0
11940         1.0
11941         1.0
14448         1.0
11346         1.0
11347         1.0
11229         2.0
11228         2.0
11227         2.0
11226         1.0
11225         1.0
11224         1.0
11223         1.0
11349         1.0
11221         1.0
11220         1.0
12330         1.0
12331         1.0
12332         1.0
10563         2.0
10562         2.0
10561         2.0
10560         2.0
10567         1.0
10566         1.0
10565         2.0
10564         2.0
10569         1.0
10568         1.0
10840         1.0
10841         1.0
10842         1.0
10843         1.0
10844         1.0
11698         1.0
10846         1.0
10847         1.0
10848         3.0
10849         2.0
12009         1.0
12006         1.0
12007         1.0
Moon30A       1.0
12004         1.0
12054         1.0
12005         1.0
12002         1.0
Moon30B       1.0
12003         1.0
12055         1.0
11690         1.0
12057         1.0
12056         1.0
12059         1.0
12058         1.0
12001         1.0
10835         1.0
10834         1.0
10837         1.0
10836         1.0
10938         1.0
10939         1.0
10833         1.0
10832         1.0
10934         1.0
10935         1.0
10936         1.0
10937         1.0
10930         1.0
10838         1.0
10932         1.0
10933         1.0
12285         1.0
12286         1.0
12287         1.0
12288         1.0
12289         1.0
11658         1.0
11659         1.0
11652         1.0
11653         1.0
11650         1.0
11651         1.0
11656         1.0
11657         1.0
11654         1.0
11655         1.0
11308         1.0
11309         1.0
11300         1.0
11301         1.0
11302         1.0
11303         1.0
11304         1.0
11305         1.0
11306         1.0
11307         1.0
12370         1.0
12371         1.0
12372         1.0
12373         1.0
12374         1.0
12375         1.0
12376         1.0
12377         1.0
12378         1.0
12379         1.0
10664         1.0
10665         1.0
10666         1.0
10667         1.0
10660         1.0
10661         1.0
10662         1.0
10663         1.0
10831         1.0
10668         1.0
10669         1.0
10830         1.0
14105         1.0
14104         1.0
14107         1.0
14106         1.0
14109         1.0
14108         1.0
12389         2.0
13681         1.0
13680         1.0
11279         1.0
10839         1.0
13092         1.0
11370         1.0
13090         1.0
13091         1.0
12305         2.0
12304         2.0
12307         2.0
12306         2.0
12301         1.0
12300         1.0
12303         2.0
12302         1.0
12309         2.0
12308         2.0
15747         1.0
Moon10B       1.0
Moon10A       1.0
15748         1.0
15749         1.0
10970         1.0
10971         1.0
10972         1.0
10973         1.0
10974         1.0
10975         1.0
10976         1.0
10977         1.0
10978         1.0
10979         1.0
13023         1.0
13022         1.0
13021         1.0
13020         1.0
13027         1.0
13026         1.0
13025         1.0
13024         1.0
11281         1.0
11280         1.0
13029         1.0
13028         1.0
13771         1.0
14443         1.0
14444         1.0
14445         1.0
14446         1.0
14447         1.0
13430         1.0
13431         1.0
13432         1.0
13433         1.0
13434         1.0
13435         1.0
13436         1.0
13437         1.0
10851         2.0
12008         1.0
11699         1.0
11696         1.0
11697         1.0
11694         1.0
11695         1.0
11692         1.0
11693         1.0
12000         1.0
11691         1.0
10994         1.0
10995         1.0
10659         1.0
10658         1.0
10655         1.0
10654         1.0
10657         1.0
10656         1.0
10651         1.0
10650         1.0
10653         1.0
10652         1.0
Moon20A       1.0
Moon20B       1.0
11010         1.0
11011         1.0
11012         1.0
10628         1.0
10629         1.0
10620         1.0
10621         1.0
10622         1.0
10623         1.0
10624         1.0
10625         1.0
10626         1.0
10627         1.0
11331         1.0
11330         1.0
11333         1.0
11332         1.0
11335         1.0
11334         1.0
11337         1.0
11336         1.0
11230         2.0
11231         2.0
11232         2.0
12349         1.0
12348         1.0
13079         1.0
12341         1.0
12340         1.0
12343         1.0
12342         1.0
12345         1.0
12344         1.0
12347         1.0
12346         1.0
14451         1.0
14450         1.0
15106         1.0
10578         1.0
10579         1.0
10574         1.0
10575         1.0
10576         1.0
10577         1.0
10570         1.0
13425         1.0
10572         1.0
10573         1.0
15105         1.0
15102         1.0
15101         1.0
12042         1.0
12043         1.0
12040         1.0
12041         1.0
12046         1.0
12044         1.0
12045         1.0
11689         1.0
11688         1.0
12682         1.0
12683         1.0
11369         1.0
10826         1.0
11685         1.0
10941         1.0
10940         1.0
10943         1.0
10942         1.0
10945         1.0
10944         1.0
10828         1.0
10829         1.0
12016         1.0
11681         1.0
11680         1.0
11338         1.0
13360         1.0
13361         1.0
13362         1.0
13363         1.0
13364         1.0
13365         1.0
13366         1.0
14776         1.0
14777         1.0
14774         1.0
14775         1.0
14772         1.0
14773         1.0
11661         1.0
14771         1.0
11669         1.0
11668         1.0
11704         1.0
11700         1.0
11701         1.0
11702         1.0
11703         1.0
12310         1.0
12311         1.0
15425         1.0
15427         1.0
15426         1.0
15429         1.0
15428         1.0
11025         1.0
11024         1.0
11026         1.0
11021         1.0
11020         1.0
11023         1.0
11022         1.0
12385         1.0
12386         1.0
12381         1.0
12380         1.0
10611         1.0
10610         1.0
10613         1.0
10612         1.0
10615         1.0
10614         1.0
10617         1.0
10616         1.0
10619         1.0
10618         1.0
14112         1.0
14113         1.0
14110         1.0
14111         1.0
14116         1.0
14117         1.0
14114         1.0
14115         1.0
11368         1.0
13769         1.0
11366         1.0
11367         1.0
11364         1.0
11365         1.0
11362         1.0
11363         1.0
11360         1.0
11361         1.0
11939         1.0
11938         1.0
11937         1.0
11936         1.0
11935         1.0
11934         1.0
11933         1.0
11932         1.0
11931         1.0
11930         1.0
10549         1.0
10548         1.0
10989         1.0
10988         1.0
10985         1.0
10984         1.0
10987         1.0
10986         1.0
10981         1.0
10980         1.0
10983         1.0
10982         1.0
11298         1.0
11299         1.0
11292         1.0
11293         1.0
11290         1.0
11291         1.0
13030         1.0
11297         1.0
11294         1.0
11295         1.0
Moon60B       1.0
12039         1.0
12038         1.0
11556         1.0
12033         1.0
12032         1.0
12031         1.0
12030         1.0
12037         1.0
12036         1.0
12035         1.0
12034         1.0
10917         2.0
10959         2.0
10918         2.0
11384         1.0
10648         1.0
10649         1.0
10646         1.0
10647         1.0
10644         1.0
10645         1.0
10642         1.0
10643         1.0
10640         1.0
10641         1.0
13351         1.0
13350         1.0
13353         1.0
Moon70B       1.0
13355         1.0
13354         1.0
13357         1.0
13356         1.0
13359         1.0
13358         1.0
11385         1.0
10956         1.0
10957         1.0
11735         1.0
11734         1.0
11737         1.0
11736         1.0
11733         1.0
11687         1.0
11637         1.0
11739         1.0
11738         1.0
11008         1.0
14019         1.0
14018         1.0
14017         1.0
14016         1.0
14015         1.0
14014         1.0
14013         1.0
11322         1.0
11323         1.0
11320         1.0
11321         1.0
11326         1.0
11327         1.0
11324         2.0
11325         1.0
11328         1.0
11329         1.0
10827         1.0
10571         1.0
12350         1.0
12351         1.0
11999         1.0
13034         1.0
11553         1.0
11552         1.0
11555         1.0
11554         1.0
11557         1.0
10636         1.0
11558         1.0
13077         1.0
13078         1.0
11296         1.0
13031         1.0
Moon80B       1.0
13032         1.0
Moon80A       1.0
13033         1.0
11190         1.0
11682         1.0
Moon40B       1.0
12674         1.0
Moon40A       1.0
12671         1.0
12670         1.0
12673         1.0
12672         1.0
13005         1.0
13004         1.0
10958         2.0
13006         1.0
13003         1.0
10952         1.0
10953         1.0
10950         1.0
10951         1.0
13009         1.0
13008         1.0
10954         1.0
10955         1.0
11670         1.0
11671         1.0
11672         1.0
11673         1.0
11674         1.0
11675         1.0
11676         1.0
11677         1.0
11678         1.0
11679         1.0
11381         1.0
11371         1.0
11373         1.0
15430         1.0
15431         1.0
11372         1.0
11348         1.0
12394         1.0
12395         1.0
12392         2.0
12393         2.0
12390         2.0
11222         1.0
10606         1.0
10607         1.0
10608         1.0
10609         1.0
11212         2.0
11213         1.0
11216         1.0
11217         1.0
11214         1.0
11215         1.0
13770         1.0
11218         1.0
11219         1.0
11352         1.0
11351         1.0
11350         1.0
11928         2.0
11929         2.0
12327         1.0
12326         1.0
12329         1.0
12328         1.0
11927         2.0
10556         1.0
10557         1.0
10554         1.0
10555         1.0
10552         1.0
10553         1.0
10550         1.0
10551         1.0
12731         1.0
12732         1.0
10558         1.0
10559         2.0
13773         1.0
13772         1.0
13678         1.0
13679         1.0
13777         1.0
13776         1.0
10998         1.0
13774         1.0
10996         1.0
10997         1.0
13779         1.0
13778         1.0
10992         1.0
10993         1.0
10990         1.0
10991         1.0
13775         1.0
12366         1.0
12024         1.0
12025         1.0
12026         1.0
12027         1.0
12020         1.0
12021         1.0
12022         1.0
12023         1.0
12028         1.0
12029         1.0
12088         1.0
12745         1.0
12744         1.0
12746         1.0
10927         1.0
10926         1.0
10929         1.0
10928         1.0
13677         1.0
Moon60A       1.0
10670         1.0
13342         1.0
13343         1.0
13007         1.0
13346         1.0
13347         1.0
13344         1.0
13345         1.0
13348         1.0
13349         1.0
10949         1.0
12299         1.0
12298         1.0
10948         1.0
12293         1.0
12292         1.0
12291         1.0
12290         1.0
12297         1.0
12296         1.0
12295         1.0
12294         1.0
11649         1.0
11648         1.0
13780         1.0
14449         1.0
10999         1.0
11319         1.0
11318         1.0
11317         1.0
11316         1.0
11315         1.0
12367         1.0
Moon70A       1.0
12369         1.0
12368         1.0
13352         1.0
10947         1.0
10853         2.0
10946         1.0
