#Object       u60  vst  v40

11686         1.0  0.0  0.0
12751         1.0  0.0  0.0
16071         1.0  0.0  0.0
16070         1.0  0.0  0.0
13072         1.0  0.0  0.0
11300         1.0  0.0  0.0
11301         1.0  0.0  0.0
11302         1.0  0.0  0.0
11303         1.0  0.0  0.0
16381         1.0  0.0  0.0
13089         1.0  0.0  0.0
11662         1.0  1.0  0.0
11661         1.0  0.0  0.0
11660         1.0  0.0  0.0
Moon40B       1.0  0.0  0.0
12674         1.0  0.0  0.0
13087         1.0  0.0  0.0
Moon40A       1.0  0.0  0.0
12671         1.0  0.0  0.0
12670         1.0  0.0  0.0
12673         1.0  0.0  0.0
12672         1.0  0.0  0.0
13076         1.0  0.0  0.0
16067         1.0  0.0  0.0
11708         1.0  0.0  0.0
11709         1.0  0.0  0.0
11705         1.0  0.0  0.0
11706         1.0  0.0  0.0
11707         1.0  0.0  0.0
10934         1.0  0.0  0.0
10935         1.0  0.0  0.0
12061         1.0  0.0  0.0
12062         1.0  0.0  0.0
12063         1.0  0.0  0.0
Moon66B       1.0  0.0  0.0
11279         1.0  0.0  0.0
12066         1.0  0.0  0.0
Moon66A       1.0  0.0  0.0
Moon25B       1.0  0.0  0.0
Moon25A       1.0  0.0  0.0
13096         1.0  0.0  0.0
13097         1.0  0.0  0.0
13094         1.0  0.0  0.0
13095         1.0  0.0  0.0
13092         1.0  0.0  0.0
13093         1.0  0.0  0.0
13090         1.0  0.0  0.0
13091         1.0  0.0  0.0
10932         1.0  0.0  0.0
10930         1.0  0.0  0.0
12355         1.0  0.0  0.0
Moon58B       1.0  0.0  0.0
Moon58A       1.0  0.0  0.0
13071         1.0  0.0  0.0
13430         1.0  0.0  0.0
Moon50B       1.0  0.0  0.0
Moon50A       1.0  0.0  0.0
12398         1.0  0.0  0.0
12399         1.0  0.0  0.0
11685         1.0  0.0  0.0
12397         1.0  0.0  0.0
12394         1.0  0.0  0.0
12395         1.0  0.0  0.0
12011         1.0  0.0  0.0
12010         1.0  0.0  0.0
11289         1.0  0.0  0.0
16065         1.0  0.0  0.0
16066         1.0  0.0  0.0
16382         1.0  0.0  0.0
16385         1.0  0.0  0.0
16384         1.0  0.0  0.0
16387         1.0  0.0  0.0
16386         1.0  0.0  0.0
11281         1.0  0.0  0.0
11280         1.0  0.0  0.0
16068         1.0  0.0  0.0
16069         1.0  0.0  0.0
12765         1.0  0.0  0.0
12729         1.0  0.0  0.0
12728         1.0  0.0  0.0
12727         1.0  0.0  0.0
12726         1.0  0.0  0.0
12725         1.0  0.0  0.0
12724         1.0  0.0  0.0
13434         1.0  0.0  0.0
13435         1.0  0.0  0.0
13436         1.0  0.0  0.0
13088         1.0  0.0  0.0
10928         1.0  0.0  0.0
12008         1.0  0.0  0.0
12009         1.0  0.0  0.0
12006         1.0  0.0  0.0
12007         1.0  0.0  0.0
12004         1.0  0.0  0.0
12005         1.0  0.0  0.0
12002         1.0  0.0  0.0
12003         2.0  0.0  0.0
12000         1.0  0.0  0.0
12001         1.0  0.0  0.0
11298         1.0  0.0  0.0
11299         1.0  0.0  0.0
12327         1.0  0.0  0.0
12326         1.0  0.0  0.0
11292         1.0  0.0  0.0
11293         1.0  0.0  0.0
11290         1.0  0.0  0.0
11291         1.0  0.0  0.0
11296         1.0  0.0  0.0
11297         1.0  0.0  0.0
11294         1.0  0.0  0.0
11295         1.0  0.0  0.0
10931         1.0  0.0  0.0
Moon32B       3.0  0.0  0.0
Moon32A       3.0  0.0  0.0
10929         1.0  0.0  0.0
11344         1.0  0.0  0.0
11345         1.0  0.0  0.0
14778         1.0  0.0  0.0
13431         1.0  0.0  0.0
12730         1.0  0.0  0.0
14779         1.0  0.0  0.0
13432         1.0  0.0  0.0
13433         1.0  0.0  0.0
unknown       0.0  0.0  0.0
11655         1.0  0.0  0.0
12330         1.0  0.0  0.0
12331         1.0  0.0  0.0
12332         1.0  0.0  0.0
13070         1.0  0.0  0.0
16692         1.0  0.0  0.0
14784         1.0  1.0  0.0
14783         1.0  1.0  0.0
14782         1.0  1.0  0.0
14781         1.0  1.0  0.0
14780         1.0  0.0  0.0
12064         1.0  0.0  0.0
10567         1.0  0.0  0.0
10566         1.0  0.0  0.0
13074         1.0  0.0  0.0
10569         1.0  0.0  0.0
10568         1.0  0.0  0.0
13075         1.0  0.0  0.0
12749         1.0  0.0  0.0
12748         1.0  0.0  0.0
12745         1.0  0.0  0.0
12744         1.0  0.0  0.0
12747         1.0  0.0  0.0
12746         1.0  0.0  0.0
12065         1.0  0.0  0.0
12349         1.0  0.0  0.0
12348         1.0  0.0  0.0
10927         1.0  0.0  0.0
10926         1.0  0.0  0.0
12341         1.0  0.0  0.0
12340         1.0  0.0  0.0
12343         1.0  0.0  0.0
12342         1.0  0.0  0.0
12345         1.0  0.0  0.0
12344         1.0  0.0  0.0
12347         1.0  0.0  0.0
12346         1.0  0.0  0.0
12400         1.0  0.0  0.0
11658         1.0  0.0  0.0
10578         1.0  0.0  0.0
10579         1.0  0.0  0.0
10575         1.0  1.0  0.0
10574         1.0  1.0  0.0
Moon77A       1.0  0.0  0.0
Moon77B       1.0  0.0  0.0
10577         1.0  0.0  0.0
10570         1.0  0.0  0.0
10576         1.0  0.0  0.0
10572         1.0  0.0  0.0
10573         1.0  1.0  0.0
12067         1.0  0.0  0.0
16383         1.0  0.0  0.0
12750         1.0  0.0  0.0
10571         1.0  0.0  0.0
11649         1.0  0.0  0.0
11648         1.0  0.0  0.0
12358         1.0  0.0  0.0
11659         1.0  0.0  0.0
12411         1.0  0.0  0.0
12352         1.0  0.0  0.0
12353         1.0  0.0  0.0
12350         1.0  0.0  0.0
12351         1.0  0.0  0.0
12356         1.0  0.0  0.0
12357         1.0  0.0  0.0
12354         1.0  0.0  0.0
10933         1.0  0.0  0.0
12764         1.0  0.0  0.0
11999         1.0  0.0  0.0
12040         1.0  0.0  0.0
12041         1.0  0.0  0.0
Moon88B       1.0  0.0  0.0
12329         1.0  0.0  0.0
Moon88A       1.0  0.0  0.0
16693         1.0  0.0  0.0
12418         1.0  0.0  0.0
16691         1.0  0.0  0.0
13073         1.0  0.0  0.0
16697         1.0  0.0  0.0
16696         1.0  0.0  0.0
16695         1.0  0.0  0.0
16694         1.0  0.0  0.0
12763         1.0  0.0  0.0
12762         1.0  0.0  0.0
12413         1.0  0.0  0.0
12412         1.0  0.0  0.0
12415         1.0  0.0  0.0
12414         1.0  0.0  0.0
12417         1.0  0.0  0.0
12416         1.0  0.0  0.0
12396         1.0  0.0  0.0
11711         1.0  0.0  0.0
11710         1.0  0.0  0.0
11652         1.0  0.0  0.0
11653         1.0  0.0  0.0
11650         1.0  0.0  0.0
11651         1.0  0.0  0.0
11656         1.0  0.0  0.0
11657         1.0  0.0  0.0
11654         1.0  0.0  0.0
12328         1.0  0.0  0.0
