# Generated at 2016-07-20 07:32:49
#Object       u60

16079         1.0
16078         1.0
16073         1.0
16072         1.0
16071         1.0
16070         1.0
16077         1.0
16076         1.0
16075         1.0
16074         1.0
13737         1.0
13736         1.0
13735         1.0
13734         1.0
11546         1.0
11547         1.0
13731         1.0
11545         1.0
11548         1.0
11549         1.0
13739         1.0
13738         1.0
13089         1.0
13088         1.0
13087         1.0
Moon21B       1.0
11911         1.0
11910         1.0
11912         1.0
Moon21A       1.0
18469         1.0
12701         1.0
12069         1.0
15759         1.0
15758         1.0
12705         1.0
12704         1.0
12707         1.0
12706         1.0
12709         1.0
12708         1.0
12062         1.0
12063         1.0
12064         1.0
15756         1.0
15755         1.0
15754         1.0
13733         1.0
13732         1.0
12700         1.0
18467         1.0
13730         1.0
14457         1.0
14456         2.0
14455         1.0
14454         1.0
14453         1.0
15108         1.0
15109         1.0
15107         1.0
16701         1.0
13422         1.0
13421         1.0
13420         1.0
Moon50B       1.0
Moon50A       1.0
18468         1.0
11685         1.0
11686         1.0
12011         1.0
12010         1.0
16381         1.0
18466         1.0
16383         1.0
16382         1.0
16385         1.0
16384         1.0
16387         1.0
16386         1.0
16389         1.0
16388         1.0
14124         1.0
13785         1.0
13051         1.0
14138         2.0
14139         1.0
14130         1.0
Moon32B       4.0
Moon32A       4.0
14133         1.0
14134         1.0
14135         1.0
14136         1.0
14137         1.0
11344         1.0
11345         1.0
12330         1.0
12331         1.0
12332         1.0
14789         1.0
14788         1.0
14787         1.0
14786         1.0
14785         1.0
14784         1.0
14783         1.0
14782         1.0
14781         1.0
14780         1.0
10567         1.0
10566         1.0
12624         1.0
12625         1.0
14145         1.0
10569         1.0
10568         1.0
14141         1.0
14140         1.0
14143         1.0
14142         1.0
11707         1.0
12065         1.0
13113         1.0
13112         1.0
13111         1.0
13110         1.0
13117         1.0
13116         1.0
13115         1.0
13114         1.0
13052         1.0
13053         1.0
13050         1.0
13118         1.0
13056         1.0
13057         1.0
13054         1.0
13055         1.0
12051         1.0
12050         1.0
12053         1.0
12052         1.0
12697         1.0
12696         1.0
12695         1.0
12694         1.0
12693         1.0
12692         1.0
12691         1.0
12759         1.0
12756         1.0
12757         1.0
12754         1.0
12755         1.0
12752         1.0
12753         1.0
12750         1.0
12751         1.0
10934         1.0
10935         1.0
10930         1.0
10931         1.0
10932         1.0
10933         1.0
15447         1.0
15446         1.0
15445         1.0
15444         1.0
15443         1.0
17304         1.0
15441         1.0
15440         1.0
16999         1.0
15449         1.0
15448         1.0
13379         1.0
13378         1.0
13377         1.0
13376         1.0
13375         1.0
13374         1.0
13373         1.0
13372         1.0
16693         1.0
16692         1.0
16691         1.0
16697         1.0
12758         1.0
16695         1.0
16694         1.0
16699         1.0
16698         1.0
12703         1.0
11163         1.0
11713         1.0
11712         1.0
11658         1.0
12702         1.0
11717         1.0
11716         1.0
11715         1.0
11714         1.0
11652         1.0
11653         1.0
11650         1.0
11651         1.0
11656         1.0
11657         1.0
11654         1.0
11655         1.0
13418         1.0
12699         1.0
12061         1.0
17001         1.0
17000         1.0
17003         1.0
11303         1.0
17005         1.0
17004         1.0
12408         1.0
12409         1.0
12402         1.0
15757         1.0
12400         1.0
12401         1.0
12406         1.0
12407         1.0
12404         1.0
12405         1.0
12066         1.0
12067         1.0
14101         1.0
14100         1.0
14103         1.0
14102         1.0
13720         1.0
13721         1.0
13722         1.0
13723         1.0
13729         1.0
11279         1.0
Moon55B       1.0
Moon25B       1.0
Moon25A       1.0
12351         1.0
13098         1.0
13099         1.0
13096         1.0
13097         1.0
13094         1.0
13095         1.0
13092         1.0
13093         1.0
13090         1.0
13091         1.0
11902         1.0
11903         1.0
13397         1.0
13396         1.0
11906         1.0
11907         1.0
11904         1.0
11905         1.0
11908         1.0
11909         1.0
13399         1.0
13398         1.0
12712         1.0
12713         1.0
12710         1.0
12711         1.0
12716         2.0
12714         1.0
12715         2.0
15442         1.0
unknown       0.0
11289         1.0
16065         1.0
16066         1.0
16067         1.0
11281         1.0
11280         1.0
16068         1.0
16069         1.0
18185         1.0
18184         1.0
18186         1.0
18181         1.0
18180         1.0
18183         1.0
18182         1.0
13438         1.0
13439         1.0
13430         1.0
13431         1.0
13432         1.0
13433         1.0
13434         1.0
13435         1.0
13436         1.0
15765         1.0
12008         1.0
12009         1.0
12006         1.0
12007         1.0
12004         1.0
12005         1.0
12002         1.0
12003         2.0
12000         1.0
12001         1.0
16392         1.0
17303         1.0
16390         1.0
16391         1.0
17306         1.0
17307         1.0
16394         1.0
17305         1.0
17308         1.0
17309         1.0
15762         1.0
15111         1.0
15763         1.0
13449         1.0
13448         1.0
13445         1.0
13444         1.0
13447         1.0
13446         1.0
13441         1.0
13440         1.0
13443         1.0
13442         1.0
17889         1.0
15760         1.0
13805         1.0
13804         1.0
13807         1.0
13806         1.0
13801         1.0
13800         1.0
13803         1.0
13802         1.0
13058         1.0
12349         1.0
12348         1.0
12341         1.0
12340         1.0
12343         1.0
12342         1.0
12345         1.0
12344         1.0
12347         1.0
12346         1.0
14798         1.0
14799         1.0
14790         1.0
14791         1.0
14792         1.0
13059         1.0
14794         1.0
14795         1.0
14796         1.0
14797         1.0
11524         1.0
11525         1.0
Moon67B       1.0
10578         1.0
10579         1.0
16704         1.0
10574         1.0
10575         1.0
10576         1.0
10577         1.0
10570         1.0
10571         1.0
10572         1.0
14098         1.0
13719         1.0
13718         1.0
13062         1.0
13061         1.0
13060         1.0
13715         1.0
13714         1.0
13717         1.0
16700         1.0
14800         1.0
14801         1.0
14802         1.0
11659         1.0
13108         1.0
16703         1.0
13104         1.0
13105         1.0
13106         1.0
16702         1.0
13100         1.0
13101         1.0
13102         1.0
13103         1.0
12040         1.0
12041         1.0
12698         1.0
12048         1.0
12049         1.0
Moon88B       1.0
Moon88A       1.0
12680         1.0
12681         1.0
12769         1.0
12768         1.0
12763         1.0
12762         1.0
14458         1.0
12760         1.0
12767         1.0
12766         1.0
12765         1.0
12764         1.0
15450         1.0
15451         1.0
15452         1.0
13401         1.0
13400         1.0
11662         1.0
11661         1.0
11660         1.0
14471         1.0
14470         1.0
14473         1.0
14472         1.0
14778         1.0
14779         1.0
11708         1.0
11709         1.0
11705         1.0
11706         1.0
16696         1.0
16393         1.0
14118         1.0
14119         1.0
18471         1.0
18470         1.0
18472         1.0
11300         1.0
11301         1.0
11302         1.0
17002         1.0
12073         1.0
12779         1.0
13386         1.0
13387         1.0
13384         1.0
13385         1.0
13382         1.0
13383         1.0
13380         1.0
13381         1.0
15761         1.0
13388         1.0
13389         1.0
12729         1.0
12728         1.0
12727         1.0
12726         1.0
12725         1.0
12724         1.0
16084         1.0
16085         1.0
13744         1.0
13742         1.0
13743         1.0
13740         1.0
13741         1.0
11298         1.0
11299         1.0
13038         1.0
13039         1.0
12403         1.0
11292         1.0
13035         1.0
11290         1.0
13037         1.0
11296         1.0
11297         1.0
11294         1.0
11295         1.0
15124         1.0
15125         1.0
15126         1.0
15127         1.0
15120         1.0
15121         1.0
15122         1.0
15123         1.0
16082         1.0
16083         1.0
12672         1.0
16080         1.0
16081         1.0
Moon14B       1.0
Moon14A       1.0
14793         1.0
14097         1.0
13458         1.0
13459         1.0
13456         1.0
13457         1.0
13454         1.0
13455         1.0
13452         1.0
13453         1.0
13450         1.0
13451         1.0
17892         1.0
17893         1.0
17890         1.0
17891         1.0
17894         1.0
17895         1.0
13791         1.0
13790         1.0
13793         1.0
13792         1.0
13795         1.0
13794         1.0
13797         1.0
13796         1.0
13799         1.0
13798         1.0
Moon77A       1.0
12420         1.0
Moon77B       1.0
12358         1.0
12359         1.0
14099         1.0
12352         1.0
12353         1.0
12350         1.0
10573         1.0
12356         1.0
12357         1.0
12354         1.0
12355         1.0
11999         1.0
11293         1.0
13036         1.0
13070         1.0
13071         1.0
13072         1.0
13073         1.0
13074         1.0
13075         1.0
13076         1.0
13416         1.0
13461         1.0
13417         1.0
12774         1.0
12775         1.0
12776         1.0
12777         1.0
12770         1.0
12771         1.0
12772         1.0
12773         1.0
15766         1.0
15767         1.0
15764         1.0
13716         1.0
12778         1.0
12072         1.0
12071         1.0
12070         1.0
13419         1.0
12679         1.0
Moon40B       1.0
12674         1.0
Moon40A       1.0
12671         1.0
12670         1.0
12673         1.0
Moon55A       1.0
Moon42A       1.0
14803         1.0
14131         1.0
14804         1.0
15112         1.0
14132         1.0
13109         1.0
Moon42B       1.0
14469         1.0
15119         1.0
15118         1.0
15115         1.0
15114         1.0
15117         1.0
15116         1.0
Moon66B       1.0
15110         1.0
15113         1.0
Moon66A       1.0
14468         1.0
13107         1.0
14462         1.0
14463         1.0
14460         1.0
14461         1.0
14466         1.0
14467         1.0
14464         1.0
14465         1.0
12074         1.0
Moon58B       1.0
Moon58A       1.0
15436         1.0
15437         1.0
15434         1.0
15435         1.0
12424         1.0
12425         1.0
15438         1.0
15439         1.0
13395         1.0
12398         1.0
13394         1.0
12396         1.0
12397         1.0
12394         1.0
12395         1.0
13391         1.0
13390         1.0
Moon67A       1.0
13393         1.0
14129         1.0
14128         1.0
14127         1.0
14126         1.0
14125         1.0
13392         1.0
14123         1.0
14122         1.0
14121         1.0
14120         1.0
12327         1.0
12326         1.0
12329         1.0
12328         1.0
12047         1.0
Moon12A       1.0
Moon12B       1.0
11711         1.0
12730         1.0
13049         1.0
13048         1.0
13041         1.0
13040         1.0
13043         1.0
13042         1.0
13045         1.0
13044         1.0
13047         1.0
11718         1.0
17607         1.0
17606         1.0
17605         1.0
17604         1.0
17603         1.0
17602         1.0
17601         1.0
13046         1.0
12749         1.0
12748         1.0
12421         1.0
12745         1.0
12744         1.0
12747         1.0
12746         1.0
12422         1.0
12411         1.0
12423         1.0
10927         1.0
10926         1.0
15432         1.0
10929         1.0
10928         1.0
12761         1.0
15433         1.0
12412         1.0
11176         1.0
13463         1.0
13462         1.0
11710         1.0
13460         1.0
13464         1.0
11649         1.0
11648         1.0
13782         1.0
13783         1.0
13781         1.0
13786         1.0
13787         1.0
13784         1.0
11291         1.0
14459         1.0
13788         1.0
13789         1.0
14805         1.0
12419         1.0
12418         1.0
12365         1.0
12364         1.0
12363         1.0
12362         1.0
12361         1.0
12360         1.0
12068         1.0
12410         1.0
12413         1.0
12399         1.0
12415         1.0
12414         1.0
12417         1.0
12416         1.0
12626         1.0
