#Object       u60

265           1.0
669           1.0
668           1.0
667           1.0
666           1.0
665           1.0
664           1.0
663           1.0
662           1.0
661           1.0
660           1.0
133           1.0
132           1.0
131           1.0
130           1.0
137           1.0
136           1.0
135           1.0
134           1.0
1764          1.0
139           1.0
138           1.0
1771          1.0
1770          1.0
160           1.0
264           1.0
4905          1.0
4906          1.0
289           1.0
288           1.0
281           1.0
280           1.0
283           1.0
282           1.0
285           1.0
284           1.0
287           1.0
286           1.0
678           1.0
679           1.0
674           1.0
675           1.0
676           1.0
677           1.0
670           1.0
671           1.0
672           1.0
673           1.0
120           3.0
121           2.0
122           2.0
123           1.0
124           1.0
125           1.0
126           1.0
127           1.0
128           1.0
129           1.0
269           1.0
268           1.0
2552          1.0
2553          1.0
2554          1.0
2555          1.0
2556          1.0
2557          1.0
2558          1.0
537           1.0
536           1.0
535           1.0
534           1.0
533           1.0
532           1.0
531           1.0
530           1.0
294           1.0
292           1.0
293           1.0
290           1.0
291           1.0
591           1.0
590           1.0
982           1.0
983           1.0
980           1.0
981           1.0
191           1.0
190           1.0
984           1.0
192           1.0
270           1.0
271           1.0
117           2.0
116           1.0
274           1.0
275           1.0
276           1.0
277           1.0
278           1.0
279           1.0
119           2.0
118           2.0
4128          1.0
4127          1.0
524           0.0
525           1.0
526           1.0
527           1.0
520           1.0
521           1.0
522           1.0
523           1.0
528           1.0
529           1.0
587           1.0
588           1.0
589           1.0
519           1.0
518           1.0
511           2.0
510           2.0
513           1.0
512           2.0
515           1.0
514           1.0
517           1.0
516           1.0
555           1.0
161           1.0
171           1.0
170           1.0
657           1.0
979           1.0
656           1.0
195           1.0
654           2.0
655           1.0
186           1.0
187           1.0
194           1.0
188           1.0
189           1.0
197           1.0
658           1.0
659           1.0
196           1.0
560           1.0
561           1.0
562           1.0
563           1.0
564           1.0
565           1.0
566           1.0
567           1.0
1763          1.0
168           1.0
169           1.0
164           1.0
165           1.0
166           1.0
167           1.0
2950          1.0
2951          1.0
162           1.0
163           1.0
272           1.0
273           1.0
158           1.0
150           1.0
559           1.0
558           1.0
1765          1.0
159           1.0
554           1.0
557           1.0
556           1.0
553           1.0
552           1.0
2949          1.0
2948          1.0
2947          1.0
2946          1.0
2945          1.0
1769          1.0
1759          1.0
1758          1.0
146           1.0
147           1.0
144           1.0
145           1.0
142           1.0
143           1.0
140           1.0
141           1.0
148           1.0
149           1.0
1762          1.0
684           1.0
1760          1.0
263           1.0
1761          1.0
262           1.0
1766          1.0
193           1.0
261           1.0
1767          1.0
1768          1.0
260           1.0
688           1.0
682           1.0
685           1.0
267           1.0
687           1.0
686           1.0
681           1.0
680           1.0
683           1.0
266           1.0
