# Generated at 20160719155323
#Object       u60
IC4665        1.0
663           1.0
1069          1.0
1068          1.0
1061          1.0
1060          1.0
1063          1.0
1062          1.0
1065          1.0
1064          1.0
1067          1.0
1066          1.0
294           1.0
292           1.0
293           1.0
290           1.0
291           1.0
591           1.0
590           1.0
195           1.0
194           1.0
197           1.0
196           1.0
191           1.0
190           1.0
193           1.0
192           1.0
270           1.0
271           1.0
272           1.0
273           1.0
274           1.0
275           1.0
276           1.0
277           1.0
278           1.0
279           1.0
2548          1.0
524           0.0
525           1.0
526           1.0
527           1.0
520           1.0
521           1.0
522           1.0
523           1.0
528           1.0
529           1.0
1339          1.0
1338          1.0
909           1.0
546           1.0
547           1.0
548           1.0
549           1.0
559           1.0
558           1.0
555           1.0
554           1.0
557           1.0
556           1.0
551           1.0
550           1.0
553           1.0
552           1.0
2949          1.0
2948          1.0
2947          1.0
2946          1.0
2945          1.0
2942          1.0
2941          1.0
2940          1.0
1050          1.0
1051          1.0
1052          2.0
1053          1.0
1054          1.0
1055          1.0
1056          1.0
1057          1.0
1058          1.0
1059          1.0
1759          1.0
1758          1.0
146           1.0
147           1.0
144           1.0
145           1.0
142           1.0
143           1.0
140           1.0
141           1.0
148           1.0
149           1.0
948           1.0
949           1.0
946           1.0
947           1.0
944           1.0
945           1.0
942           1.0
943           1.0
940           1.0
941           1.0
1472          1.0
1470          1.0
1471          1.0
688           1.0
685           1.0
684           1.0
687           1.0
686           1.0
681           1.0
680           1.0
683           1.0
682           1.0
133           1.0
132           1.0
131           1.0
130           1.0
137           1.0
136           1.0
135           1.0
134           1.0
139           1.0
138           1.0
939           1.0
938           1.0
1375          1.0
1374          1.0
1377          1.0
1376          1.0
933           1.0
932           1.0
931           1.0
930           1.0
937           1.0
936           1.0
935           1.0
934           1.0
586           1.0
587           1.0
584           1.0
585           1.0
582           1.0
583           1.0
580           1.0
581           1.0
588           1.0
589           1.0
519           1.0
518           1.0
511           2.0
510           2.0
513           1.0
512           2.0
515           1.0
514           1.0
517           1.0
516           1.0
1340          1.0
1341          1.0
1342          1.0
1343          1.0
1344          1.0
179           1.0
178           1.0
177           1.0
176           1.0
175           1.0
174           1.0
173           1.0
172           1.0
171           1.0
170           1.0
977           1.0
976           1.0
975           1.0
974           1.0
973           1.0
972           1.0
971           1.0
970           1.0
180           1.0
979           1.0
978           1.0
182           1.0
183           1.0
654           2.0
181           1.0
186           1.0
187           1.0
184           1.0
185           1.0
188           1.0
189           1.0
658           1.0
659           1.0
656           1.0
657           1.0
655           1.0
1047          1.0
1049          1.0
1048          1.0
1768          1.0
1769          1.0
1762          1.0
1763          1.0
1760          1.0
1761          1.0
1766          1.0
1767          1.0
1764          1.0
1765          1.0
669           1.0
668           1.0
667           1.0
666           1.0
665           1.0
664           1.0
NGC6229       1.0
662           1.0
661           1.0
660           1.0
4905          1.0
4906          1.0
542           1.0
543           1.0
540           1.0
541           1.0
1469          1.0
1468          1.0
544           1.0
545           1.0
1465          1.0
1464          1.0
1467          1.0
1466          1.0
1461          1.0
1460          1.0
1463          1.0
1462          1.0
120           3.0
121           2.0
122           2.0
123           1.0
124           1.0
125           1.0
126           1.0
127           1.0
128           1.0
129           1.0
928           1.0
929           1.0
920           1.0
921           1.0
922           1.0
923           1.0
924           1.0
925           1.0
926           1.0
927           1.0
NGC5053       1.0
4128          1.0
4127          1.0
579           1.0
578           1.0
573           1.0
572           1.0
571           1.0
570           1.0
577           1.0
576           1.0
575           1.0
574           1.0
1373          1.0
1358          1.0
1353          1.0
1352          1.0
1357          1.0
1356          1.0
1355          1.0
1354          1.0
168           1.0
169           1.0
1378          1.0
164           1.0
165           1.0
166           1.0
167           1.0
160           1.0
161           1.0
162           1.0
163           1.0
964           1.0
965           1.0
966           1.0
967           1.0
960           1.0
961           1.0
962           1.0
963           1.0
968           1.0
969           1.0
1454          1.0
1455          1.0
1456          1.0
1457          1.0
1450          1.0
1451          1.0
1452          1.0
1453          1.0
1458          1.0
1459          1.0
1447          1.0
1771          1.0
1770          1.0
1078          1.0
1076          1.0
1077          1.0
1074          1.0
1075          1.0
1072          1.0
1073          1.0
1070          1.0
1071          1.0
289           1.0
288           1.0
281           1.0
280           1.0
283           1.0
282           1.0
285           1.0
284           1.0
287           1.0
286           1.0
678           1.0
679           1.0
674           1.0
675           1.0
676           1.0
677           1.0
670           1.0
671           1.0
672           1.0
673           1.0
263           1.0
262           1.0
261           1.0
260           1.0
267           1.0
266           1.0
265           1.0
264           1.0
269           1.0
268           1.0
2552          1.0
2553          1.0
2554          1.0
2555          1.0
2556          1.0
2557          1.0
2558          1.0
537           1.0
536           1.0
535           1.0
534           1.0
533           1.0
532           1.0
531           1.0
530           1.0
539           1.0
538           1.0
982           1.0
983           1.0
980           1.0
981           1.0
984           1.0
117           2.0
116           1.0
119           2.0
118           2.0
919           1.0
918           1.0
915           1.0
914           1.0
917           1.0
916           1.0
911           1.0
910           1.0
913           1.0
912           1.0
Coma          1.0
568           1.0
569           1.0
560           1.0
561           1.0
562           1.0
563           1.0
564           1.0
565           1.0
566           1.0
567           1.0
2950          1.0
2951          1.0
151           1.0
150           1.0
153           1.0
152           1.0
155           1.0
154           1.0
157           1.0
156           1.0
159           1.0
158           1.0
959           1.0
958           1.0
951           1.0
950           1.0
953           1.0
952           1.0
955           1.0
954           1.0
957           1.0
956           1.0
NGC5466       1.0
1446          1.0
1445          1.0
1444          1.0
1443          1.0
1442          1.0
1441          1.0
1449          1.0
1448          1.0
