#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2453434 (343.36629 +24.50000) 1.01 -0.10 169.3 +82.4  35.0 *
002 2373552 (355.20728 +23.70000) 1.03 -0.89 121.6 +75.6  47.0 *
003 2533447 (344.71412 +25.30000) 1.01 -0.19 158.4 +82.9  47.0 *
004 2453495 (349.52039 +24.50000) 1.02 -0.51 135.8 +79.9  52.0 *
005 2453372 (337.21217 +24.50000) 1.01  0.31 209.7 +81.5  53.0 *
006 2453311 (331.05806 +24.50000) 1.02  0.72 234.5 +78.0  56.0 *
007 2373591 (359.13886 +23.70000) 1.05 -1.23 112.3 +71.7  57.0 *
008 2453557 (355.67450 +24.50000) 1.03 -0.92 118.0 +75.7  59.0 *
009 2533323 (332.32587 +25.30000) 1.02  0.63 233.7 +79.3  61.0 *
010 2533509 (350.90824 +25.30000) 1.02 -0.61 127.6 +79.6  62.0 *
011 2453187 (318.74985 +24.50000) 1.08  1.54 255.6 +68.4  66.0 *
012 2533385 (338.51999 +25.30000) 1.01  0.22 204.3 +82.7  66.0 *
013 2373124 (312.39675 +23.70000) 1.12  1.96 259.8 +62.8  67.0 *
014 2453592 (359.19113 +24.50000) 1.05 -1.25 109.6 +71.9  70.0 *
015 2453126 (312.59574 +24.50000) 1.12  1.95 261.2 +63.3  73.0 *
016 2613453 (345.25666 +26.10000) 1.01 -0.23 152.0 +83.4  74.0 *
017 2533261 (326.13174 +25.30000) 1.04  1.05 248.1 +74.7  75.0 *
018 2613515 (351.49255 +26.10000) 1.02 -0.65 122.3 +79.7  77.0 *
019 2613390 (339.02077 +26.10000) 1.01  0.19 203.3 +83.7  81.0 *
020 2613328 (332.78488 +26.10000) 1.01  0.60 235.7 +80.2  84.0 *
021 2533571 (357.10237 +25.30000) 1.04 -1.02 112.6 +75.0  85.0 *
022 2533199 (319.93762 +25.30000) 1.07  1.46 256.4 +69.7  86.0 *
023 2613265 (326.54899 +26.10000) 1.03  1.02 250.2 +75.4  87.0 *
024 2533137 (313.74349 +25.30000) 1.11  1.87 262.0 +64.6  92.0 *
025 2613203 (320.31311 +26.10000) 1.06  1.43 258.2 +70.3  95.0 *
026 2613573 (357.28301 +26.10000) 1.03 -1.05 109.1 +75.1 103.0 *
027 2613141 (314.07721 +26.10000) 1.10  1.85 263.5 +65.1 108.0 *
028 2370022 (  0.44937 +23.70000) 1.06 -1.33 110.1 +70.5 108.0 *
029 2290083 (  9.17296 +22.90000) 1.11 -1.85 103.2 +63.8 116.0 *
030 2290144 ( 13.51520 +22.90000) 1.15 -2.14  99.6 +60.2 117.0 *
031 2210152 ( 15.16413 +22.10000) 1.17 -2.22 100.1 +58.8 120.0 *
032 2450023 (  2.31783 +24.50000) 1.06 -1.37 107.3 +70.5 120.0 *
033 2290205 ( 22.63388 +22.90000) 1.27 -2.80  93.0 +51.9 129.0 *
034 2450084 (  8.40695 +24.50000) 1.10 -1.77 101.0 +65.5 130.0 *
035 2290265 ( 26.54189 +22.90000) 1.31 -2.98  91.4 +49.6 130.0 *
036 2370206 ( 22.33355 +23.70000) 1.26 -2.76  92.1 +52.7 132.0 *
037 2450207 ( 20.71517 +24.50000) 1.22 -2.59  92.3 +55.1 133.0 *
038 2370267 ( 26.70198 +23.70000) 1.31 -2.99  90.2 +49.7 136.0 *
039 2530032 (  3.15237 +25.30000) 1.06 -1.42 104.2 +70.2 137.0 *
040 2530093 (  9.34649 +25.30000) 1.10 -1.84  98.4 +65.0 140.0 *
041 2450146 ( 14.56106 +24.50000) 1.15 -2.18  96.2 +60.3 141.0 *
042 2450392 ( 39.17749 +24.50000) 1.57 -3.82  83.1 +39.5 147.0 *
043 2610023 (  2.39574 +26.10000) 1.06 -1.37 102.8 +71.1 151.0 *
044 2530217 ( 21.73474 +25.30000) 1.23 -2.66  90.4 +54.5 151.0 *
045 2450269 ( 26.86928 +24.50000) 1.31 -3.00  89.0 +49.9 153.0 *
046 2450330 ( 33.02338 +24.50000) 1.45 -3.49  85.4 +43.7 155.0 *
047 2610085 (  8.51867 +26.10000) 1.09 -1.78  97.3 +66.0 158.0 *
048 2530155 ( 15.54062 +25.30000) 1.16 -2.25  94.0 +59.8 162.0 *
049 2610148 ( 14.75456 +26.10000) 1.15 -2.20  93.0 +60.7 164.0 *
050 2530279 ( 27.92887 +25.30000) 1.32 -3.07  87.3 +49.3 167.0 *
051 2530403 ( 40.31712 +25.30000) 1.59 -3.90  81.7 +38.8 169.0 *
052 2530341 ( 34.12299 +25.30000) 1.44 -3.49  84.4 +44.0 171.0 *
053 2610210 ( 20.99045 +26.10000) 1.21 -2.61  89.5 +55.4 172.0 *
054 2610335 ( 33.46222 +26.10000) 1.42 -3.44  83.7 +44.9 174.0 *
055 2610397 ( 39.69811 +26.10000) 1.57 -3.86  81.0 +39.6 177.0 *
056 2610272 ( 27.22634 +26.10000) 1.30 -3.03  86.5 +50.2 182.0 *
