#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2453495 (349.52039 +24.50000) 1.01 -0.30 150.9 +81.6  36.0 *
002 2373552 (355.20728 +23.70000) 1.02 -0.68 130.0 +77.8  42.0 *
003 2533447 (344.71412 +25.30000) 1.01  0.02 182.4 +83.3  45.0 *
004 2453557 (355.67450 +24.50000) 1.02 -0.71 125.9 +78.0  48.0 *
005 2533509 (350.90824 +25.30000) 1.01 -0.39 140.8 +81.6  50.0 *
006 2373591 (359.13886 +23.70000) 1.04 -1.02 117.7 +74.2  52.0 *
007 2453372 (337.21217 +24.50000) 1.02  0.52 224.6 +79.9  53.0 *
008 2453311 (331.05806 +24.50000) 1.03  0.93 242.2 +75.6  63.0 *
009 2533323 (332.32587 +25.30000) 1.03  0.85 242.3 +77.0  63.0 *
010 2453187 (318.74985 +24.50000) 1.10  1.75 258.8 +65.8  64.0 *
011 2453592 (359.19113 +24.50000) 1.04 -1.04 114.7 +74.4  68.0 *
012 2533385 (338.51999 +25.30000) 1.01  0.43 222.2 +81.2  68.0 *
013 2613515 (351.49255 +26.10000) 1.01 -0.43 134.4 +81.9  68.0 *
014 2373124 (312.39675 +23.70000) 1.15  2.18 262.3 +60.1  70.0 *
015 2613453 (345.25666 +26.10000) 1.01 -0.02 178.0 +84.1  72.0 *
016 2533261 (326.13174 +25.30000) 1.05  1.26 252.9 +72.2  78.0 *
017 2533571 (357.10237 +25.30000) 1.02 -0.81 119.1 +77.5  79.0 *
018 2613390 (339.02077 +26.10000) 1.01  0.40 223.4 +82.1  81.0 *
019 2453126 (312.59574 +24.50000) 1.15  2.16 263.6 +60.6  84.0 *
020 2613328 (332.78488 +26.10000) 1.02  0.82 244.4 +77.8  84.0 *
021 2533199 (319.93762 +25.30000) 1.09  1.67 259.5 +67.1  86.0 *
022 2613265 (326.54899 +26.10000) 1.05  1.23 254.8 +72.8  90.0 *
023 2533137 (313.74349 +25.30000) 1.13  2.09 264.4 +61.9  93.0 *
024 2613203 (320.31311 +26.10000) 1.08  1.65 261.1 +67.7  95.0 *
025 2613573 (357.28301 +26.10000) 1.02 -0.83 115.1 +77.6  95.0 *
026 2370022 (  0.44937 +23.70000) 1.05 -1.12 114.9 +73.0 105.0 *
027 2450023 (  2.31783 +24.50000) 1.05 -1.15 111.8 +73.1 109.0 *
028 2290144 ( 13.51520 +22.90000) 1.12 -1.93 102.2 +62.9 110.0 *
029 2613141 (314.07721 +26.10000) 1.13  2.06 265.7 +62.4 110.0 *
030 2290083 (  9.17296 +22.90000) 1.09 -1.64 106.4 +66.4 111.0 *
031 2210152 ( 15.16413 +22.10000) 1.14 -2.01 102.7 +61.5 115.0 *
032 2450084 (  8.40695 +24.50000) 1.08 -1.56 104.0 +68.1 119.0 *
033 2290205 ( 22.63388 +22.90000) 1.23 -2.58  95.0 +54.6 125.0 *
034 2290265 ( 26.54189 +22.90000) 1.26 -2.77  93.3 +52.3 127.0 *
035 2450146 ( 14.56106 +24.50000) 1.12 -1.97  98.5 +63.0 128.0 *
036 2370206 ( 22.33355 +23.70000) 1.21 -2.55  94.0 +55.4 128.0 *
037 2530032 (  3.15237 +25.30000) 1.05 -1.21 108.1 +72.8 131.0 *
038 2370267 ( 26.70198 +23.70000) 1.26 -2.78  92.0 +52.5 133.0 *
039 2530093 (  9.34649 +25.30000) 1.08 -1.62 101.2 +67.7 134.0 *
040 2450207 ( 20.71517 +24.50000) 1.18 -2.38  94.2 +57.8 139.0 *
041 2610023 (  2.39574 +26.10000) 1.04 -1.16 106.7 +73.7 144.0 *
042 2450269 ( 26.86928 +24.50000) 1.26 -2.79  90.7 +52.6 144.0 *
043 2450330 ( 33.02338 +24.50000) 1.38 -3.28  86.9 +46.4 147.0 *
044 2530217 ( 21.73474 +25.30000) 1.19 -2.45  92.2 +57.3 148.0 *
045 2610085 (  8.51867 +26.10000) 1.07 -1.57  99.9 +68.7 150.0 *
046 2530155 ( 15.54062 +25.30000) 1.13 -2.03  96.2 +62.5 154.0 *
047 2610148 ( 14.75456 +26.10000) 1.12 -1.98  95.1 +63.4 155.0 *
048 2450392 ( 39.17749 +24.50000) 1.49 -3.61  84.6 +42.2 155.0 *
049 2530279 ( 27.92887 +25.30000) 1.27 -2.86  88.9 +52.0 164.0 *
050 2530341 ( 34.12299 +25.30000) 1.37 -3.27  85.9 +46.8 165.0 *
051 2530403 ( 40.31712 +25.30000) 1.51 -3.69  83.1 +41.5 165.0 *
052 2610210 ( 20.99045 +26.10000) 1.18 -2.40  91.2 +58.2 167.0 *
053 2610335 ( 33.46222 +26.10000) 1.35 -3.23  85.1 +47.6 169.0 *
054 2610272 ( 27.22634 +26.10000) 1.25 -2.81  88.0 +52.9 177.0 *
055 2610397 ( 39.69811 +26.10000) 1.48 -3.64  82.4 +42.3 185.0 *
