#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2373552 (355.20728 +23.70000) 1.02 -0.46 141.6 +79.7  38.0 *
002 2453557 (355.67450 +24.50000) 1.02 -0.50 136.9 +80.1  38.0 *
003 2373591 (359.13886 +23.70000) 1.03 -0.80 124.8 +76.5  46.0 *
004 2453372 (337.21217 +24.50000) 1.02  0.73 235.2 +77.8  51.0 *
005 2533509 (350.90824 +25.30000) 1.01 -0.18 159.9 +82.9  53.0 *
006 2533447 (344.71412 +25.30000) 1.01  0.23 205.8 +82.7  53.0 *
007 2453592 (359.19113 +24.50000) 1.03 -0.82 121.4 +76.8  53.0 *
008 2453311 (331.05806 +24.50000) 1.04  1.15 248.0 +73.2  59.0 *
009 2533571 (357.10237 +25.30000) 1.02 -0.59 128.3 +79.8  68.0 *
010 2533385 (338.51999 +25.30000) 1.02  0.65 234.4 +79.2  68.0 *
011 2453187 (318.74985 +24.50000) 1.12  1.97 261.4 +63.1  70.0 *
012 2373124 (312.39675 +23.70000) 1.19  2.39 264.5 +57.4  71.0 *
013 2613390 (339.02077 +26.10000) 1.02  0.61 236.3 +80.0  72.0 *
014 2533261 (326.13174 +25.30000) 1.07  1.47 256.6 +69.5  73.0 *
015 2533323 (332.32587 +25.30000) 1.04  1.06 248.5 +74.6  75.0 *
016 2613515 (351.49255 +26.10000) 1.01 -0.22 153.3 +83.5  75.0 *
017 2453126 (312.59574 +24.50000) 1.18  2.38 265.7 +57.9  79.0 *
018 2613453 (345.25666 +26.10000) 1.01  0.20 204.7 +83.6  82.0 *
019 2613573 (357.28301 +26.10000) 1.02 -0.62 123.5 +80.0  84.0 *
020 2533199 (319.93762 +25.30000) 1.11  1.89 262.2 +64.4  85.0 *
021 2613328 (332.78488 +26.10000) 1.03  1.03 250.5 +75.3  88.0 *
022 2613265 (326.54899 +26.10000) 1.06  1.45 258.3 +70.2  92.0 *
023 2613203 (320.31311 +26.10000) 1.10  1.86 263.7 +65.0  99.0 *
024 2370022 (  0.44937 +23.70000) 1.03 -0.91 121.2 +75.4 102.0 *
025 2533137 (313.74349 +25.30000) 1.16  2.30 266.4 +59.1 102.0 *
026 2290083 (  9.17296 +22.90000) 1.07 -1.43 110.2 +69.0 109.0 *
027 2290144 ( 13.51520 +22.90000) 1.10 -1.72 105.2 +65.5 110.0 *
028 2210152 ( 15.16413 +22.10000) 1.11 -1.80 105.7 +64.2 113.0 *
029 2613141 (314.07721 +26.10000) 1.16  2.28 267.7 +59.7 114.0 *
030 2450023 (  2.31783 +24.50000) 1.03 -0.94 117.5 +75.5 120.0 *
031 2450084 (  8.40695 +24.50000) 1.06 -1.34 107.7 +70.8 122.0 *
032 2290205 ( 22.63388 +22.90000) 1.19 -2.37  97.1 +57.3 125.0 *
033 2290265 ( 26.54189 +22.90000) 1.22 -2.55  95.2 +55.0 128.0 *
034 2370206 ( 22.33355 +23.70000) 1.18 -2.33  96.1 +58.1 129.0 *
035 2450146 ( 14.56106 +24.50000) 1.10 -1.76 101.2 +65.7 131.0 *
036 2370267 ( 26.70198 +23.70000) 1.22 -2.56  93.9 +55.2 135.0 *
037 2450207 ( 20.71517 +24.50000) 1.15 -2.17  96.4 +60.5 137.0 *
038 2530032 (  3.15237 +25.30000) 1.03 -0.99 113.2 +75.3 139.0 *
039 2530093 (  9.34649 +25.30000) 1.06 -1.41 104.4 +70.4 141.0 *
040 2370450 ( 46.35987 +23.70000) 1.63 -3.92  83.4 +38.0 144.0 *
041 2530217 ( 21.73474 +25.30000) 1.15 -2.23  94.2 +60.0 146.0 *
042 2610023 (  2.39574 +26.10000) 1.03 -0.94 111.7 +76.3 148.0 *
043 2610085 (  8.51867 +26.10000) 1.06 -1.35 103.1 +71.4 148.0 *
044 2450269 ( 26.86928 +24.50000) 1.22 -2.58  92.5 +55.3 150.0 *
045 2530155 ( 15.54062 +25.30000) 1.10 -1.82  98.6 +65.2 151.0 *
046 2450330 ( 33.02338 +24.50000) 1.32 -3.06  88.5 +49.2 152.0 *
047 2450453 ( 45.33160 +24.50000) 1.57 -3.81  83.3 +39.7 154.0 *
048 2450392 ( 39.17749 +24.50000) 1.42 -3.40  86.1 +44.9 157.0 *
049 2610148 ( 14.75456 +26.10000) 1.09 -1.77  97.4 +66.1 162.0 *
050 2530279 ( 27.92887 +25.30000) 1.22 -2.65  90.6 +54.7 164.0 *
051 2530403 ( 40.31712 +25.30000) 1.43 -3.47  84.5 +44.2 165.0 *
052 2530465 ( 46.51124 +25.30000) 1.59 -3.89  81.8 +39.0 167.0 *
053 2530341 ( 34.12299 +25.30000) 1.32 -3.06  87.4 +49.5 169.0 *
054 2610210 ( 20.99045 +26.10000) 1.14 -2.18  93.1 +60.9 173.0 *
055 2610272 ( 27.22634 +26.10000) 1.21 -2.60  89.6 +55.6 175.0 *
056 2610397 ( 39.69811 +26.10000) 1.41 -3.43  83.7 +45.0 182.0 *
057 2610335 ( 33.46222 +26.10000) 1.30 -3.02  86.5 +50.3 184.0 *
058 2610459 ( 45.93400 +26.10000) 1.56 -3.85  81.1 +39.8 192.0 *
