#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2450576 ( 57.20024 +24.50000) 1.03 -0.79 122.5 +77.1  38.0 *
002 2530527 ( 52.70537 +25.30000) 1.01 -0.48 134.8 +80.8  46.0 *
003 2530403 ( 40.31712 +25.30000) 1.01  0.35 215.8 +81.9  46.0 *
004 2530465 ( 46.51124 +25.30000) 1.01 -0.07 172.4 +83.3  46.0 *
005 2530341 ( 34.12299 +25.30000) 1.02  0.76 239.2 +78.0  56.0 *
006 2530279 ( 27.92887 +25.30000) 1.04  1.17 251.1 +73.2  57.0 *
007 2610522 ( 52.16989 +26.10000) 1.01 -0.44 133.6 +81.8  58.0 *
008 2610584 ( 58.40578 +26.10000) 1.03 -0.86 114.2 +77.3  59.0 *
009 2450207 ( 20.71517 +24.50000) 1.09  1.65 257.4 +67.0  59.0 *
010 2530589 ( 58.89949 +25.30000) 1.03 -0.89 116.2 +76.5  59.0 *
011 2530651 ( 65.53606 +25.30000) 1.06 -1.41 104.4 +70.3  60.0 *
012 2290083 (  9.17296 +22.90000) 1.19  2.39 263.2 +57.0  60.0 *
013 2530217 ( 21.73474 +25.30000) 1.08  1.59 258.3 +68.1  61.0 *
014 2450146 ( 14.56106 +24.50000) 1.13  2.06 262.6 +61.8  62.0 *
015 2610459 ( 45.93400 +26.10000) 1.01 -0.03 176.4 +84.1  62.0 *
016 2450084 (  8.40695 +24.50000) 1.20  2.47 266.6 +56.6  64.0 *
017 2370022 (  0.44937 +23.70000) 1.29  2.91 269.2 +50.8  65.0 *
018 2450023 (  2.31783 +24.50000) 1.28  2.88 270.1 +51.5  66.0 *
019 2610397 ( 39.69811 +26.10000) 1.01  0.39 222.5 +82.2  68.0 *
020 2610272 ( 27.22634 +26.10000) 1.05  1.22 254.5 +73.0  68.0 *
021 2450699 ( 72.58551 +24.50000) 1.11 -1.90  99.4 +63.9  68.0 *
022 2530155 ( 15.54062 +25.30000) 1.12  2.00 263.4 +62.9  70.0 *
023 2610210 ( 20.99045 +26.10000) 1.08  1.64 261.0 +67.8  72.0 *
024 2610335 ( 33.46222 +26.10000) 1.02  0.80 244.0 +77.9  72.0 *
025 2610646 ( 64.64167 +26.10000) 1.05 -1.27 104.5 +72.3  72.0 *
026 2530032 (  3.15237 +25.30000) 1.26  2.82 270.9 +52.5  72.0 *
027 2530093 (  9.34649 +25.30000) 1.18  2.41 267.5 +57.7  75.0 *
028 2690651 ( 63.29913 +26.90000) 1.05 -1.25 102.5 +73.0  83.0 *
029 2610085 (  8.51867 +26.10000) 1.19  2.47 269.3 +57.3  84.0 *
030 2610148 ( 14.75456 +26.10000) 1.13  2.05 265.6 +62.6  85.0 *
031 2610709 ( 70.87756 +26.10000) 1.09 -1.69  98.3 +67.1  85.0 *
032 2613573 (357.28301 +26.10000) 1.35  3.20 274.7 +47.9  92.0 *
033 2610023 (  2.39574 +26.10000) 1.27  2.88 272.5 +52.1  92.0 *
034 2613515 (351.49255 +26.10000) 1.47  3.60 277.4 +42.9  96.0 *
035 2693575 (357.53632 +26.90000) 1.33  3.17 275.7 +48.6 102.0 *
