#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7637 19.88 18.49  1 2053097 309.66010 +20.50000 1.15 105.2 +60.4  770
7637 20.09 18.71  2 2133105 310.45695 +21.30000 1.13 106.0 +62.7  770
7637 20.31 18.92  3 2053156 315.63872 +20.50000 1.15 105.6 +60.7  770
7637 20.52 19.14  4 2133165 316.03820 +21.30000 1.12 106.6 +63.2  660
7637 20.70 19.32  5 2213165 316.50400 +22.10000 1.10 107.6 +65.6  770
7637 20.92 19.53  6 2053216 319.90915 +20.50000 1.11 109.6 +63.9  330
7637 21.01 19.63  7 2213225 322.54807 +22.10000 1.11 106.1 +64.5  770
7637 21.22 19.84  8 2293236 323.55052 +22.90000 1.09 106.7 +66.6  770
7637 21.44 20.05  9 2213286 326.43355 +22.10000 1.10 107.5 +65.6  220
7637 21.50 20.11 10 2293296 329.62964 +22.90000 1.10 104.7 +65.0  770
7637 21.71 20.33 11 2373307 330.74411 +23.70000 1.09 105.0 +67.1  770
7637 21.93 20.54 12 2213105 310.45993 +22.10000 1.02 176.1 +80.1  770
7637 22.14 20.76 13 2293114 311.39227 +22.90000 1.01 189.0 +80.8  770
7637 22.35 20.97 14 2293175 317.47139 +22.90000 1.01 172.3 +80.9  770
7637 22.57 21.18 15 2373185 318.51254 +23.70000 1.01 185.4 +81.7  770
7637 22.78 21.40 16 2373246 324.62833 +23.70000 1.01 167.1 +81.5  770
7637 23.00 21.61 17 2453249 324.90396 +24.50000 1.01 186.1 +82.5  770
7637 23.21 21.83 18 2213346 335.49963 +22.10000 1.02 146.1 +78.4  550
7637 23.36 21.98 19 2293357 335.70876 +22.90000 1.02 155.5 +80.1  770
7637 23.58 22.19 20 2213407 338.52167 +22.10000 1.02 153.7 +79.1  220
7637 23.64 22.25 21 2373369 336.85990 +23.70000 1.01 170.8 +81.6  770
7637 23.85 22.47 22 2373430 342.97569 +23.70000 1.01 153.9 +80.9  770
7637 24.07 22.68 23 2453434 343.36629 +24.50000 1.01 169.3 +82.4  770
7637 24.28 22.89 24 2453495 349.52039 +24.50000 1.01 150.9 +81.6  770
7637 24.49 23.11 25 2453557 355.67450 +24.50000 1.02 136.9 +80.1  770
7637 24.71 23.32 26 2373591 359.13886 +23.70000 1.02 134.4 +78.6  220
7637 24.77 23.38 27 2373552 355.20728 +23.70000 1.01 162.4 +81.4  770
7637 24.98 23.60 28 2453592 359.19113 +24.50000 1.01 148.2 +81.3  110
7637 25.01 23.63 29 2533509 350.90824 +25.30000 1.01 215.3 +82.0  770
7637 25.23 23.84 30 2533447 344.71412 +25.30000 1.03 246.1 +75.6  770
7637 25.44  0.06 31 2533571 357.10237 +25.30000 1.01 216.5 +81.9  770
7637 25.65  0.27 32 2453372 337.21217 +24.50000 1.11 260.6 +63.9  770
7637 25.87  0.48 33 2453311 331.05806 +24.50000 1.21 267.1 +56.0  770
7637 26.08  0.70 34 2533323 332.32587 +25.30000 1.23 269.5 +54.7  770
7637 26.30  0.91 35 2290144  13.51520 +22.90000 1.01 187.6 +80.9  550
7637 26.45  1.06 36 2210152  15.16413 +22.10000 1.02 192.8 +79.9  770
7637 26.66  1.28 37 2290205  22.63388 +22.90000 1.01 162.9 +80.6  220
7637 26.72  1.34 38 2370206  22.33355 +23.70000 1.01 170.2 +81.6  330
7637 26.82  1.43 39 2290265  26.54189 +22.90000 1.01 160.4 +80.4  770
7637 27.03  1.64 40 2370267  26.70198 +23.70000 1.01 177.3 +81.7  770
7637 27.24  1.86 41 2450269  26.86928 +24.50000 1.01 197.8 +82.2  770
7637 27.46  2.07 42 2450330  33.02338 +24.50000 1.01 169.7 +82.4  220
7637 27.52  2.13 43 2450392  39.17749 +24.50000 1.01 145.3 +81.1  770
7637 27.73  2.35 44 2210454  47.97477 +22.10000 1.03 128.4 +75.1  110
7637 27.76  2.38 45 2370450  46.35987 +23.70000 1.02 131.3 +78.1  440
7637 27.89  2.50 46 2450453  45.33160 +24.50000 1.01 142.2 +80.7  770
7637 28.10  2.71 47 2450515  51.48571 +24.50000 1.02 130.5 +79.0  770
7637 28.31  2.93 48 2450576  57.20024 +24.50000 1.03 122.5 +77.1  660
7637 28.50  3.11 49 2530589  58.89949 +25.30000 1.02 122.9 +78.6  770
7637 28.71  3.33 50 2530527  52.70537 +25.30000 1.01 170.6 +83.3  770
