#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7637 19.88 18.49  1   10704 307.09784 +20.50000 1.14 106.1 +61.1  110
7637 19.91 18.53  1   10705 307.95193 +20.50000 1.15 105.7 +60.8  110
7637 19.94 18.56  1   10706 308.80603 +20.50000 1.15 105.3 +60.5  110
7637 19.97 18.59  1   10707 309.66010 +20.50000 1.15 105.0 +60.2  110
7637 20.00 18.62  1   10708 310.51419 +20.50000 1.16 104.6 +59.8  110
7637 20.03 18.65  1   10709 311.36829 +20.50000 1.16 104.3 +59.5  110
7637 20.06 18.68  1   10710 312.22235 +20.50000 1.16 103.9 +59.2  110
7637 20.09 18.71  2   11067 307.88098 +21.30000 1.12 107.0 +63.5  110
7637 20.12 18.74  2   11068 308.73966 +21.30000 1.12 106.6 +63.2  110
7637 20.15 18.77  2   11069 309.59830 +21.30000 1.12 106.2 +62.9  110
7637 20.19 18.80  2   11070 310.45694 +21.30000 1.13 105.8 +62.5  110
7637 20.22 18.83  2   11071 311.31561 +21.30000 1.13 105.4 +62.2  110
7637 20.25 18.86  2   11072 312.17426 +21.30000 1.13 105.0 +61.9  110
7637 20.28 18.89  2   11073 313.03293 +21.30000 1.14 104.6 +61.5  110
7637 20.31 18.92  3   10711 313.07645 +20.50000 1.14 106.5 +61.5  110
7637 20.34 18.95  3   10712 313.93054 +20.50000 1.14 106.1 +61.2  110
7637 20.37 18.98  3   10713 314.78464 +20.50000 1.14 105.7 +60.9  110
7637 20.40 19.01  3   10714 315.63870 +20.50000 1.15 105.4 +60.5  110
7637 20.43 19.04  3   10715 316.49280 +20.50000 1.15 105.0 +60.2  110
7637 20.46 19.08  3   10716 317.34689 +20.50000 1.16 104.6 +59.9  110
7637 20.49 19.11  3   10717 318.20099 +20.50000 1.16 104.3 +59.6  110
7637 20.52 19.14  4   11074 313.89157 +21.30000 1.11 107.4 +63.8  110
7637 20.55 19.17  4   11075 314.75021 +21.30000 1.12 107.0 +63.5  110
7637 20.58 19.20  4   11076 315.60889 +21.30000 1.12 106.6 +63.2  110
7637 20.61 19.23  4   11077 316.46753 +21.30000 1.12 106.2 +62.9  110
7637 20.64 19.26  4   11078 317.32617 +21.30000 1.13 105.8 +62.5  110
7637 20.67 19.29  4   11079 318.18484 +21.30000 1.13 105.4 +62.2  110
7637 20.70 19.32  5   11436 313.91370 +22.10000 1.09 108.7 +66.4  110
7637 20.74 19.35  5   11437 314.77713 +22.10000 1.09 108.3 +66.1  110
7637 20.77 19.38  5   11438 315.64056 +22.10000 1.10 107.8 +65.8  110
7637 20.80 19.41  5   11439 316.50400 +22.10000 1.10 107.4 +65.5  110
7637 20.83 19.44  5   11440 317.36743 +22.10000 1.10 106.9 +65.1  110
7637 20.86 19.47  5   11441 318.23086 +22.10000 1.11 106.5 +64.8  110
7637 20.89 19.50  5   11442 319.09430 +22.10000 1.11 106.1 +64.5  110
7637 20.92 19.53  6   10718 319.05505 +20.50000 1.11 109.8 +64.1  110
7637 20.95 19.56  6   10719 319.90915 +20.50000 1.11 109.4 +63.8  110
7637 20.98 19.59  6   10720 320.76324 +20.50000 1.12 109.0 +63.4  110
