# Object         u60
10403            3.0
10404            3.0
10405            3.0
10406            3.0
10407            3.0
10408            4.0
10409            4.0
10410            4.0
10411            4.0
10412            4.0
10413            4.0
10414            4.0
10415            3.0
10416            3.0
10417            3.0
10418            3.0
10419            3.0
10420            3.0
10421            3.0
10422            4.0
10423            4.0
10424            4.0
10425            4.0
10426            4.0
10427            4.0
10428            4.0
10429            5.0
10430            5.0
10431            5.0
10432            5.0
10433            5.0
10434            5.0
10435            5.0
10436            5.0
10437            5.0
10438            5.0
10439            5.0
10440            5.0
10441            5.0
10442            5.0
10443            6.0
10444            6.0
10445            6.0
10446            6.0
10447            6.0
10448            6.0
10449            6.0
10450            5.0
10451            5.0
10452            5.0
10453            5.0
10454            5.0
10455            5.0
10456            5.0
10457            5.0
10458            5.0
10459            5.0
10460            5.0
10461            5.0
10462            5.0
10463            5.0
10464            6.0
10465            6.0
10466            6.0
10467            6.0
10468            6.0
10469            6.0
10470            6.0
10471            5.0
10472            5.0
10473            5.0
10474            5.0
10475            5.0
10476            5.0
10477            5.0
10478            5.0
10479            5.0
10480            5.0
10481            5.0
10482            5.0
10483            5.0
10484            5.0
10485            4.0
10486            4.0
10487            4.0
10488            4.0
10489            4.0
10490            4.0
10491            4.0
10492            5.0
10493            5.0
10494            5.0
10495            5.0
10496            5.0
10497            5.0
10498            5.0
10499            4.0
10500            4.0
10501            4.0
10502            4.0
10503            4.0
10504            4.0
10505            4.0
10506            4.0
10507            4.0
10508            4.0
10509            4.0
10510            4.0
10511            3.0
10512            3.0
10513            4.0
10514            4.0
10515            4.0
10516            4.0
10517            4.0
10518            2.0
10519            1.0
10520            1.0
10521            1.0
10522            1.0
10721            2.0
10722            2.0
10723            2.0
10724            2.0
10725            2.0
10726            2.0
10727            2.0
10728            5.0
10729            5.0
10730            5.0
10731            5.0
10732            5.0
10733            5.0
10734            5.0
10735            5.0
10736            5.0
10737            5.0
10738            5.0
10739            5.0
10740            5.0
10741            5.0
10742            5.0
10743            5.0
10744            5.0
10745            5.0
10746            5.0
10747            5.0
10748            5.0
10749            5.0
10750            5.0
10751            5.0
10752            5.0
10753            5.0
10754            5.0
10755            5.0
10763            6.0
10764            6.0
10765            6.0
10766            6.0
10767            6.0
10768            6.0
10769            6.0
10770            3.0
10771            3.0
10772            3.0
10773            3.0
10774            3.0
10775            3.0
10776            3.0
10777            3.0
10778            3.0
10779            3.0
10780            3.0
10781            3.0
10782            3.0
10783            3.0
10784            2.0
10785            2.0
10786            2.0
10787            2.0
10788            2.0
10789            2.0
10790            2.0
10791            1.0
10792            1.0
10793            1.0
10794            1.0
10795            1.0
10796            1.0
10797            1.0
10798            2.0
10799            2.0
10800            2.0
10801            2.0
10802            2.0
10803            2.0
10804            2.0
10812            3.0
10813            3.0
10814            3.0
10815            3.0
10816            3.0
10817            3.0
10818            3.0
10819            4.0
10820            4.0
10821            4.0
10822            4.0
10823            4.0
10824            4.0
10825            4.0
10854            4.0
10855            4.0
10856            4.0
10857            4.0
10858            4.0
10859            4.0
10860            4.0
10861            4.0
10862            4.0
10863            4.0
10864            4.0
10865            4.0
10866            4.0
10867            4.0
10868            3.0
10869            3.0
10870            3.0
10871            3.0
10872            3.0
10873            3.0
10874            2.0
10875            3.0
10876            3.0
10877            3.0
10878            3.0
10879            3.0
10880            3.0
10881            2.0
10882            1.0
10883            1.0
10884            1.0
10885            1.0
11101            2.0
11102            2.0
11103            2.0
11104            2.0
11105            2.0
11106            2.0
11107            2.0
11177            1.0
11178            1.0
11179            1.0
11180            1.0
11181            1.0
11182            1.0
11183            1.0
11198            1.0
11199            1.0
11200            1.0
11201            1.0
11202            1.0
11203            1.0
11204            1.0
11480            2.0
11481            2.0
11482            2.0
11483            2.0
11484            2.0
11485            2.0
11486            2.0
11571            3.0
11572            3.0
11573            3.0
11574            3.0
11575            3.0
11576            3.0
11577            3.0
11578            3.0
11579            3.0
11580            3.0
11581            3.0
11582            3.0
11583            3.0
11584            3.0
depthtes3        2.0
depthtest        2.0
test             1.0
