RUN 201602  DATE 20160229  TIME 19:30 --> 06:00
--------------------------------------------------------------------------------
27399 fields, 10402 skipped,  1011 finished,    0 partly finished, 15986 new
--------------------------------------------------------------------------------
Midnight Moon Coord: 161101.34  -155722.9  Moon Phase:  56.5%
Moon-star distance limit is default as  56.5
 1735 fields removed, too close to the Moon
 5487 fields removed, too close to the Sun
Found: 1326 new blocks,  8764 new fields
--------------------------------------------------------------------------------
No:     Block    Center-RA  Center-Dec   Alt  AirM  Field  Expo   Sec     Start
01:  21180447    045209.41   +211800.0  74.9  1.04      4     4   440  19:30:00
02:  21180422    044151.18   +211800.0  72.0  1.05      2     2   220  19:37:20
03:  22060452    050225.15   +220559.9  75.4  1.03      7     7   770  19:41:00
04:  22060652    070318.02   +220559.9  73.5  1.04      7     7   770  19:53:50
05:  22060717    072544.99   +220559.9  71.8  1.05      6     6   660  20:06:40
06:  22060427    044836.24   +220600.0  65.9  1.09      1     1   110  20:17:40
07:  23420715    072403.00   +234200.0  75.4  1.03      6     6   660  20:19:30
08:  23420452    045901.10   +234200.0  66.2  1.09      5     5   550  20:30:30
09:  23420427    044502.36   +234200.0  61.3  1.14      3     3   330  20:39:40
10:  24300739    074941.42   +243000.0  75.9  1.03      7     7   770  20:45:10
11:  24300852    090703.37   +243000.0  62.9  1.12      5     5   550  20:58:00
12:  24300917    091921.86   +243000.0  62.2  1.13      2     2   220  21:07:10
13:  25180828    084217.84   +251800.0  71.0  1.06      5     5   550  21:10:50
14:  23420650    070120.05   +234200.0  79.5  1.02      7     7   770  21:20:00
15:  24300649    070027.44   +243000.0  78.0  1.02      7     7   770  21:32:50
16:  24300714    072504.43   +243000.0  79.9  1.02      7     7   770  21:45:40
17:  22531006    101320.40   +225359.9  61.0  1.14      1     1   110  21:58:30
18:  24300942    095617.34   +243000.0  65.6  1.10      5     5   550  22:00:20
19:  21181009    101826.71   +211800.0  61.5  1.14      2     2   220  22:09:30
20:  22061006    102009.86   +220600.0  62.3  1.13      3     3   330  22:13:10
21:  24301006    101723.33   +243000.0  65.1  1.10      7     7   770  22:18:40
22:  20301033    104411.72   +203000.0  60.4  1.15      7     7   770  22:31:30
23:  21181033    105104.44   +211800.0  62.0  1.13      3     3   330  22:44:20
24:  22061054    110503.78   +220559.9  60.6  1.15      7     7   770  22:49:50
25:  20301057    110806.59   +203000.0  61.9  1.13      7     7   770  23:02:40
26:  21181057    110814.82   +211800.0  64.9  1.10      7     7   770  23:15:30
27:  20301121    113201.46   +203000.0  62.3  1.13      7     7   770  23:28:20
28:  20301145    114906.36   +203000.0  61.4  1.14      3     3   330  23:41:10
29:  21181121    113217.36   +211800.0  66.3  1.09      7     7   770  23:46:40
30:  21181146    115619.90   +211800.0  64.1  1.11      7     7   770  23:59:30
31:  22061118    112914.36   +220559.9  72.3  1.05      7     7   770  00:12:20
32:  22061143    115141.32   +220559.9  70.5  1.06      6     6   660  00:25:10
33:  21181234    124608.01   +211800.0  61.4  1.14      6     6   660  00:36:10
34:  22061030    105114.88   +220600.0  79.9  1.02      1     1   110  00:47:10
35:  22061231    125207.76   +220600.0  63.2  1.12      1     1   110  00:49:00
36:  22531119    112945.80   +225400.0  79.0  1.02      7     7   770  00:50:50
37:  20301257    131430.89   +203000.0  60.9  1.14      1     1   110  01:03:40
