#Object       g60  r60  i60

5259          1.0  2.0  0.0
3498          1.0  1.0  0.0
3499          1.0  1.0  0.0
3496          1.0  0.0  0.0
3497          1.0  1.0  0.0
3494          1.0  1.0  0.0
3495          1.0  1.0  0.0
3493          2.0  1.0  0.0
3798          2.0  2.0  0.0
3804          1.0  0.0  0.0
5857          1.0  1.0  0.0
5850          2.0  2.0  0.0
5851          2.0  2.0  0.0
5858          1.0  1.0  0.0
5252          0.0  2.0  0.0
5250          2.0  0.0  0.0
5256          2.0  2.0  0.0
5257          2.0  2.0  0.0
4419          2.0  2.0  0.0
4418          2.0  2.0  0.0
4417          2.0  2.0  0.0
4416          2.0  2.0  0.0
4415          2.0  2.0  0.0
4414          2.0  1.0  0.0
4413          0.0  2.0  0.0
5847          2.0  2.0  0.0
5846          2.0  2.0  0.0
5845          2.0  2.0  0.0
5844          2.0  2.0  0.0
5843          2.0  1.0  0.0
5842          2.0  2.0  0.0
5841          1.0  1.0  0.0
5840          1.0  1.0  0.0
5849          2.0  2.0  0.0
5848          2.0  2.0  0.0
3812          1.0  0.0  0.0
3811          0.0  1.0  0.0
5548          2.0  0.0  0.0
4116          1.0  1.0  0.0
4114          0.0  1.0  0.0
4112          1.0  1.0  0.0
4113          1.0  1.0  0.0
4110          2.0  2.0  0.0
4111          2.0  2.0  0.0
4422          1.0  0.0  0.0
3501          1.0  1.0  0.0
3502          1.0  1.0  0.0
4421          1.0  1.0  0.0
5241          1.0  0.0  0.0
4424          1.0  0.0  0.0
4952          0.0  2.0  0.0
4953          0.0  2.0  0.0
4950          2.0  2.0  0.0
4951          0.0  2.0  0.0
4954          0.0  2.0  0.0
4955          2.0  2.0  0.0
3809          0.0  1.0  0.0
3808          1.0  1.0  0.0
3805          1.0  1.0  0.0
4949          2.0  2.0  0.0
3807          1.0  1.0  0.0
3806          1.0  1.0  0.0
3800          2.0  2.0  0.0
3803          1.0  1.0  0.0
3802          2.0  2.0  0.0
4107          2.0  2.0  0.0
4109          1.0  2.0  0.0
4108          2.0  2.0  0.0
5239          0.0  2.0  0.0
4947          2.0  2.0  0.0
4946          2.0  2.0  0.0
5542          2.0  2.0  0.0
5543          2.0  1.0  0.0
5540          2.0  2.0  0.0
5541          2.0  2.0  0.0
5546          2.0  2.0  0.0
4948          2.0  2.0  0.0
5544          2.0  2.0  0.0
5545          2.0  0.0  0.0
5837          1.0  1.0  0.0
5557          1.0  1.0  0.0
5559          1.0  1.0  0.0
3500          1.0  0.0  0.0
4420          1.0  1.0  0.0
5246          0.0  2.0  0.0
5537          2.0  2.0  0.0
5539          2.0  2.0  0.0
5538          2.0  1.0  0.0
4715          2.0  2.0  0.0
4716          2.0  2.0  0.0
4717          2.0  2.0  0.0
5255          2.0  2.0  0.0
4718          2.0  2.0  0.0
4719          1.0  2.0  0.0
5838          1.0  1.0  0.0
5839          1.0  1.0  0.0
5258          2.0  2.0  0.0
