#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1300652 ( 65.22160 +13.00000) 1.16 -0.12 176.6 +59.7  24.0 *
002 1300601 ( 60.09010 +13.00000) 1.16  0.22 186.5 +59.6  24.0 *
003 1200650 ( 64.96974 +12.00000) 1.17 -0.10 177.1 +58.7  25.0 *
004 1100688 ( 68.81430 +11.00000) 1.19 -0.36 170.2 +57.4  26.0 *
005 1000686 ( 68.59206 +10.00000) 1.20 -0.34 170.8 +56.4  27.0 *
006 1400552 ( 55.18936 +14.00000) 1.16  0.55 196.1 +59.9  28.0 *
007 1400655 ( 65.49550 +14.00000) 1.15 -0.14 175.9 +60.7  29.0 *
008 1200701 ( 70.08144 +12.00000) 1.18 -0.44 167.6 +58.2  30.0 *
009 1400603 ( 60.34242 +14.00000) 1.15  0.21 186.1 +60.6  30.0 *
010 1400500 ( 50.03630 +14.00000) 1.17  0.89 205.5 +58.5  34.0 *
011 1300704 ( 70.35314 +13.00000) 1.16 -0.46 166.8 +59.1  34.0 *
012 1400449 ( 44.88322 +14.00000) 1.20  1.24 214.2 +56.7  35.0 *
013 1000737 ( 73.66922 +10.00000) 1.21 -0.68 162.0 +55.5  36.0 *
014 1100739 ( 73.90790 +11.00000) 1.20 -0.70 161.2 +56.5  36.0 *
015 1400706 ( 70.64858 +14.00000) 1.15 -0.48 165.9 +60.1  40.0 *
016 1200752 ( 75.19314 +12.00000) 1.19 -0.78 158.5 +57.1  41.0 *
017 1300755 ( 75.48470 +13.00000) 1.18 -0.80 157.4 +58.0  45.0 *
018 1400758 ( 75.80164 +14.00000) 1.17 -0.82 156.3 +58.9  45.0 *
019 1000787 ( 78.74634 +10.00000) 1.23 -1.02 153.7 +54.2  45.0 *
020 1100790 ( 79.00150 +11.00000) 1.22 -1.04 152.7 +55.0  47.0 *
021 1400397 ( 39.73016 +14.00000) 1.23  1.58 222.0 +54.4  49.0 *
022 1200803 ( 80.30484 +12.00000) 1.21 -1.12 149.9 +55.5  51.0 *
023 1000838 ( 83.82346 +10.00000) 1.26 -1.36 145.9 +52.3  51.0 *
024 1100836 ( 83.58570 +11.00000) 1.25 -1.37 145.0 +53.1  58.0 *
025 1300806 ( 80.61620 +13.00000) 1.20 -1.14 148.8 +56.3  58.0 *
026 1200839 ( 83.88305 +12.00000) 1.24 -1.44 142.7 +53.6  59.0 *
027 1300837 ( 83.69510 +13.00000) 1.23 -1.45 141.7 +54.4  63.0 *
028 1400810 ( 80.95470 +14.00000) 1.19 -1.17 147.5 +57.1  64.0 *
