#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7633 22.11 20.93  1 1603168 315.78290 +16.00000 1.13 176.9 +62.7   90
7633 22.13 20.95  2 1603064 306.42020 +16.00000 1.14 200.0 +61.5  900
7633 22.38 21.20  3 1603116 311.62170 +16.00000 1.13 197.1 +61.8  900
7633 22.63 21.45  4 1703122 312.19130 +17.00000 1.13 203.9 +62.0  900
7633 22.88 21.70  5 1403201 320.05708 +14.00000 1.15 194.5 +60.0  900
7633 23.13 21.95  6 1503256 325.64612 +15.00000 1.14 191.2 +61.3  900
7633 23.38 22.20  7 1503205 320.46970 +15.00000 1.16 205.4 +59.6   90
7633 23.41 22.23  8 1503153 314.25810 +15.00000 1.19 216.6 +57.1   90
7633 23.43 22.25  9 1603262 326.18590 +16.00000 1.14 198.0 +61.7  540
7633 23.58 22.40 10 1703263 326.30810 +17.00000 1.13 202.0 +62.2  360
7633 23.68 22.50 11 1703226 322.64820 +17.00000 1.15 213.7 +60.1  900
7633 23.93 22.75 12 1403252 325.72545 +14.00000 1.19 211.8 +57.3  360
7633 24.03 22.85 13 1400346  34.57710 +14.00000 1.61 108.8 +38.4  900
7633 24.28 23.10 14 1500358  35.76878 +15.00000 1.53 110.1 +40.9  900
7633 24.53 23.35 15 1300344  35.45880 +13.00000 1.52 114.3 +41.1   90
7633 24.56 23.38 16 1200394  39.41122 +12.00000 1.59 113.3 +39.0  900
7633 24.81 23.63 17 1300396  39.56400 +13.00000 1.49 115.8 +42.1  900
7633 25.06 23.88 18 1000432  43.20640 +10.00000 1.56 118.5 +40.0  810
7633 25.28  0.10 19 1100433  43.34640 +11.00000 1.47 120.9 +42.8  900
7633 25.53  0.35 20 1200445  44.52292 +12.00000 1.41 122.8 +45.1  900
7633 25.78  0.60 21 1000483  48.28354 +10.00000 1.45 124.5 +43.6  900
7633 26.03  0.85 22 1100484  48.43998 +11.00000 1.38 127.6 +46.5  900
7633 26.28  1.10 23 1300447  44.69554 +13.00000 1.27 135.3 +52.2  900
7633 26.53  1.35 24 1000534  53.36066 +10.00000 1.37 131.5 +47.1  900
7633 26.78  1.60 25 1200496  49.63464 +12.00000 1.26 139.7 +52.6  900
7633 27.03  1.85 26 1100535  53.53356 +11.00000 1.27 140.2 +51.7  900
7633 27.28  2.10 27 1000584  58.43780 +10.00000 1.30 139.4 +50.3  900
7633 27.53  2.35 28 1200547  54.74634 +12.00000 1.22 148.8 +55.2  900
7633 27.78  2.60 29 1100586  58.62714 +11.00000 1.23 149.3 +54.3  900
7633 28.03  2.85 30 1300498  49.82710 +13.00000 1.16 170.1 +59.4  900
7633 28.28  3.10 31 1300550  54.95860 +13.00000 1.16 167.5 +59.2  900
7633 28.53  3.35 32 1200599  59.85804 +12.00000 1.18 165.7 +58.0  900
7633 28.78  3.60 33 1000635  63.51494 +10.00000 1.21 166.6 +56.1  900
7633 29.03  3.85 34 1100637  63.72072 +11.00000 1.19 172.6 +57.5  900
7633 29.28  4.10 35 1300652  65.22160 +13.00000 1.16 176.6 +59.7  900
7633 29.53  4.35 36 1200650  64.96974 +12.00000 1.17 184.2 +58.7  900
7633 29.78  4.60 37 1200701  70.08144 +12.00000 1.17 181.6 +58.7  900
7633 30.03  4.85 38 1300704  70.35314 +13.00000 1.16 188.4 +59.5  900
