#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7633 22.11 20.93  1    5548 315.78290 +16.00000 1.13 176.1 +62.7   90
7633 22.13 20.95  2    5537 304.33960 +16.00000 1.14 200.4 +61.4   90
7633 22.16 20.98  2    5538 305.37990 +16.00000 1.14 199.1 +61.6   90
7633 22.18 21.00  2    5539 306.42020 +16.00000 1.14 197.8 +61.7   90
7633 22.21 21.03  2    5540 307.46050 +16.00000 1.13 196.5 +61.9   90
7633 22.23 21.05  2    5541 308.50080 +16.00000 1.13 195.1 +62.0   90
7633 22.26 21.08  2    5537 304.33960 +16.00000 1.14 204.0 +60.9   90
7633 22.28 21.10  2    5538 305.37990 +16.00000 1.14 202.7 +61.1   90
7633 22.31 21.13  2    5539 306.42020 +16.00000 1.14 201.4 +61.3   90
7633 22.33 21.15  2    5540 307.46050 +16.00000 1.14 200.1 +61.5   90
7633 22.36 21.18  2    5541 308.50080 +16.00000 1.14 198.8 +61.6   90
7633 22.38 21.20  3    5542 309.54110 +16.00000 1.14 197.5 +61.8   90
7633 22.41 21.23  3    5543 310.58140 +16.00000 1.13 196.2 +61.9   90
7633 22.43 21.25  3    5544 311.62170 +16.00000 1.13 194.9 +62.0   90
7633 22.46 21.28  3    5545 312.66200 +16.00000 1.13 193.5 +62.2   90
7633 22.48 21.30  3    5546 313.70230 +16.00000 1.13 192.2 +62.3   90
7633 22.51 21.33  3    5542 309.54110 +16.00000 1.14 201.2 +61.3   90
7633 22.53 21.35  3    5543 310.58140 +16.00000 1.14 199.9 +61.5   90
7633 22.56 21.38  3    5544 311.62170 +16.00000 1.14 198.6 +61.6   90
7633 22.58 21.40  3    5545 312.66200 +16.00000 1.13 197.3 +61.8   90
7633 22.61 21.43  3    5546 313.70230 +16.00000 1.13 196.0 +61.9   90
7633 22.63 21.45  4    5842 310.09990 +17.00000 1.13 204.4 +61.9   90
7633 22.66 21.48  4    5843 311.14560 +17.00000 1.13 203.1 +62.1   90
7633 22.68 21.50  4    5844 312.19130 +17.00000 1.13 201.7 +62.3   90
7633 22.71 21.53  4    5845 313.23700 +17.00000 1.13 200.4 +62.5   90
7633 22.73 21.55  4    5846 314.28270 +17.00000 1.13 199.1 +62.6   90
7633 22.76 21.58  4    5842 310.09990 +17.00000 1.14 207.9 +61.3   90
7633 22.78 21.60  4    5843 311.14560 +17.00000 1.14 206.7 +61.5   90
7633 22.81 21.63  4    5844 312.19130 +17.00000 1.14 205.4 +61.7   90
7633 22.83 21.65  4    5845 313.23700 +17.00000 1.13 204.1 +61.9   90
7633 22.86 21.68  4    5846 314.28270 +17.00000 1.13 202.8 +62.1   90
7633 22.88 21.70  5    4946 317.99580 +14.00000 1.15 194.8 +60.0   90
7633 22.91 21.73  5    4947 319.02650 +14.00000 1.15 193.6 +60.1   90
7633 22.93 21.75  5    4948 320.05710 +14.00000 1.15 192.3 +60.2   90
7633 22.96 21.78  5    4949 321.08770 +14.00000 1.15 191.0 +60.3   90
7633 22.98 21.80  5    4950 322.11830 +14.00000 1.15 189.8 +60.4   90
7633 23.01 21.83  5    4946 317.99580 +14.00000 1.16 198.4 +59.6   90
7633 23.03 21.85  5    4947 319.02650 +14.00000 1.16 197.1 +59.8   90
7633 23.06 21.88  5    4948 320.05710 +14.00000 1.16 195.9 +59.9   90
7633 23.08 21.90  5    4949 321.08770 +14.00000 1.15 194.6 +60.0   90
7633 23.11 21.93  5    4950 322.11830 +14.00000 1.15 193.4 +60.1   90
